agent_weights,bear_score,bull_score,correct_or_not,date,final_action,market_regime,next_return,recommendation_score,reflection_summary,risk_score,risk_veto_applied,risk_veto_reasons,target_position,technical_signal,ticker
"{""technical"": 0.25, ""bull"": 0.14, ""bear"": 0.16, ""risk"": 0.25, ""debate_judge"": 0.2}",3.0,3.0,False,2025-08-29,BUY,sideways,-0.011906057637672718,3.0,"Next return=-1.1906%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",2.0,False,,0.6,HOLD,IVV
"{""technical"": 0.250353, ""bull"": 0.250353, ""bear"": 0.11983, ""risk"": 0.149788, ""debate_judge"": 0.229675}",3.0,4.0,False,2025-09-25,BUY,bullish,-0.0034818732113600648,3.0,"Next return=-0.3482%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,IVV
"{""technical"": 0.160029, ""bull"": 0.100018, ""bear"": 0.248664, ""risk"": 0.252571, ""debate_judge"": 0.238718}",4.0,2.0,False,2025-10-23,SELL,bearish,0.0006563149259442014,2.0,"Next return=0.0656%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,IVV
"{""technical"": 0.250299, ""bull"": 0.140168, ""bear"": 0.158892, ""risk"": 0.252026, ""debate_judge"": 0.198615}",3.0,3.0,True,2025-11-20,BUY,sideways,0.0035060500359032076,3.0,"Next return=0.3506%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",2.0,False,,0.8,HOLD,IVV
"{""technical"": 0.160051, ""bull"": 0.100032, ""bear"": 0.247432, ""risk"": 0.254951, ""debate_judge"": 0.237534}",4.0,2.0,False,2025-12-18,SELL,bearish,0.01763697644405582,2.0,"Next return=1.7637%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,IVV
"{""technical"": 0.250172, ""bull"": 0.140096, ""bear"": 0.158034, ""risk"": 0.254155, ""debate_judge"": 0.197543}",3.0,2.0,False,2026-01-15,BUY,sideways,-0.0006228659841349682,2.0,"Next return=-0.0623%. Correct agents: bull, risk, debate_judge. Wrong agents: technical, bear. Risk veto avoided loss: no.",4.0,False,,0.6,HOLD,IVV
"{""technical"": 0.248385, ""bull"": 0.140889, ""bear"": 0.156545, ""risk"": 0.255386, ""debate_judge"": 0.198795}",3.0,3.0,True,2026-02-12,BUY,sideways,0.015064919729931292,3.0,"Next return=1.5065%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.8,HOLD,IVV
"{""technical"": 0.248965, ""bull"": 0.252093, ""bear"": 0.117423, ""risk"": 0.153009, ""debate_judge"": 0.228509}",4.0,4.0,True,2026-03-12,HOLD,bullish,0.01778934526167797,2.0,"Next return=1.7789%. Correct agents: bull. Wrong agents: technical, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,IVV
"{""technical"": 0.248548, ""bull"": 0.25476, ""bear"": 0.116978, ""risk"": 0.152198, ""debate_judge"": 0.227515}",4.0,4.0,False,2026-04-09,HOLD,bullish,-0.006639304285787628,2.0,"Next return=-0.6639%. Correct agents: bear, risk, debate_judge. Wrong agents: technical, bull. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,IVV
"{""technical"": 0.246966, ""bull"": 0.141669, ""bear"": 0.157145, ""risk"": 0.255044, ""debate_judge"": 0.199176}",4.0,3.0,False,2026-05-07,SELL,sideways,-0.005359436615217761,2.0,"Next return=-0.5359%. Correct agents: bear, risk, debate_judge. Wrong agents: technical, bull. Risk veto avoided loss: no.",4.0,False,,0.6,HOLD,IVV
"{""technical"": 0.16, ""bull"": 0.1, ""bear"": 0.25, ""risk"": 0.25, ""debate_judge"": 0.24}",4.0,2.0,False,2025-09-03,HOLD,bearish,0.005184534030341359,2.0,"Next return=0.5185%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,MSFT
"{""technical"": 0.250353, ""bull"": 0.250353, ""bear"": 0.11983, ""risk"": 0.149788, ""debate_judge"": 0.229675}",3.0,4.0,True,2025-09-30,BUY,bullish,0.00339796793121816,4.0,"Next return=0.3398%. Correct agents: technical, bull, risk, debate_judge. Wrong agents: bear. Risk veto avoided loss: no.",2.0,False,,0.8,BUY,MSFT
"{""technical"": 0.2508, ""bull"": 0.2508, ""bear"": 0.118205, ""risk"": 0.150077, ""debate_judge"": 0.230118}",3.0,4.0,False,2025-10-28,HOLD,bullish,-0.0009592786985627155,3.0,"Next return=-0.0959%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.8,BUY,MSFT
"{""technical"": 0.161256, ""bull"": 0.100785, ""bear"": 0.246837, ""risk"": 0.250572, ""debate_judge"": 0.240549}",4.0,2.0,False,2025-11-25,SELL,bearish,0.017841087081432283,2.0,"Next return=1.7841%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,MSFT
"{""technical"": 0.25184, ""bull"": 0.14103, ""bear"": 0.157553, ""risk"": 0.249765, ""debate_judge"": 0.199812}",3.0,3.0,False,2025-12-24,BUY,sideways,-0.000635154335217325,3.0,"Next return=-0.0635%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.4,HOLD,MSFT
"{""technical"": 0.161853, ""bull"": 0.101158, ""bear"": 0.24669, ""risk"": 0.250153, ""debate_judge"": 0.240146}",4.0,2.0,False,2026-01-26,SELL,bearish,0.021901909507044515,2.0,"Next return=2.1902%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,HOLD,MSFT
"{""technical"": 0.162133, ""bull"": 0.101333, ""bear"": 0.246622, ""risk"": 0.249955, ""debate_judge"": 0.239957}",5.0,2.0,False,2026-02-24,HOLD,bearish,0.0298200264733548,1.0,"Next return=2.9820%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,MSFT
"{""technical"": 0.162402, ""bull"": 0.101501, ""bear"": 0.246557, ""risk"": 0.249765, ""debate_judge"": 0.239775}",5.0,2.0,True,2026-03-24,HOLD,bearish,-0.004560720873527657,1.0,"Next return=-0.4561%. Correct agents: technical, bull, bear, risk, debate_judge. Wrong agents: none. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,MSFT
"{""technical"": 0.252244, ""bull"": 0.252244, ""bear"": 0.117819, ""risk"": 0.14909, ""debate_judge"": 0.228604}",4.0,2.0,True,2026-04-22,HOLD,bullish,-0.039660934617680055,2.0,"Next return=-3.9661%. Correct agents: technical, bull, bear, risk, debate_judge. Wrong agents: none. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,MSFT
"{""technical"": 0.252129, ""bull"": 0.252129, ""bear"": 0.11793, ""risk"": 0.149136, ""debate_judge"": 0.228675}",3.0,4.0,False,2026-05-20,BUY,bullish,-0.0025229027109182622,3.0,"Next return=-0.2523%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.8,BUY,MSFT
"{""technical"": 0.16, ""bull"": 0.1, ""bear"": 0.25, ""risk"": 0.25, ""debate_judge"": 0.24}",4.0,2.0,False,2025-09-03,HOLD,bearish,0.006095406083867605,1.0,"Next return=0.6095%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,NVDA
"{""technical"": 0.250353, ""bull"": 0.250353, ""bear"": 0.11983, ""risk"": 0.149788, ""debate_judge"": 0.229675}",3.0,4.0,True,2025-09-30,BUY,bullish,0.0035374376225019155,4.0,"Next return=0.3537%. Correct agents: technical, bull, risk, debate_judge. Wrong agents: bear. Risk veto avoided loss: no.",2.0,False,,0.6,BUY,NVDA
"{""technical"": 0.2508, ""bull"": 0.2508, ""bear"": 0.118205, ""risk"": 0.150077, ""debate_judge"": 0.230118}",3.0,4.0,True,2025-10-28,HOLD,bullish,0.029896025705414164,3.0,"Next return=2.9896%. Correct agents: bull. Wrong agents: technical, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.6,HOLD,NVDA
"{""technical"": 0.161054, ""bull"": 0.101916, ""bear"": 0.246526, ""risk"": 0.250257, ""debate_judge"": 0.240247}",4.0,2.0,False,2025-11-25,SELL,bearish,0.013721716820289664,2.0,"Next return=1.3722%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,NVDA
"{""technical"": 0.250698, ""bull"": 0.253752, ""bear"": 0.117629, ""risk"": 0.149179, ""debate_judge"": 0.228741}",3.0,4.0,True,2025-12-24,BUY,bullish,0.010179710869091974,3.0,"Next return=1.0180%. Correct agents: technical, bull. Wrong agents: bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.6,BUY,NVDA
"{""technical"": 0.253714, ""bull"": 0.143723, ""bear"": 0.15643, ""risk"": 0.247852, ""debate_judge"": 0.198282}",3.0,2.0,False,2026-01-26,SELL,sideways,0.010993681830616664,2.0,"Next return=1.0994%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.2,HOLD,NVDA
"{""technical"": 0.252875, ""bull"": 0.255727, ""bear"": 0.116737, ""risk"": 0.147893, ""debate_judge"": 0.226769}",3.0,4.0,True,2026-02-24,BUY,bullish,0.014052296839024647,3.0,"Next return=1.4052%. Correct agents: technical, bull. Wrong agents: bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.6,BUY,NVDA
"{""technical"": 0.165113, ""bull"": 0.1043, ""bear"": 0.244712, ""risk"": 0.247896, ""debate_judge"": 0.23798}",4.0,2.0,False,2026-03-24,SELL,bearish,0.019862989658425256,2.0,"Next return=1.9863%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,NVDA
"{""technical"": 0.254893, ""bull"": 0.257556, ""bear"": 0.115909, ""risk"": 0.146701, ""debate_judge"": 0.224941}",4.0,3.0,True,2026-04-22,HOLD,bullish,-0.014123459804205263,2.0,"Next return=-1.4123%. Correct agents: technical, bear, risk, debate_judge. Wrong agents: bull. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,NVDA
"{""technical"": 0.255409, ""bull"": 0.254941, ""bear"": 0.116466, ""risk"": 0.14731, ""debate_judge"": 0.225875}",3.0,4.0,False,2026-05-20,BUY,bullish,-0.01772052934280066,3.0,"Next return=-1.7721%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.6,HOLD,NVDA
"{""technical"": 0.25, ""bull"": 0.14, ""bear"": 0.16, ""risk"": 0.25, ""debate_judge"": 0.2}",3.0,3.0,False,2025-08-29,BUY,sideways,-0.011906057637672718,3.0,"Next return=-1.1906%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.6,HOLD,SPY
"{""technical"": 0.250353, ""bull"": 0.250353, ""bear"": 0.11983, ""risk"": 0.149788, ""debate_judge"": 0.229675}",4.0,3.0,False,2025-09-25,BUY,bullish,-0.0034818732113600648,2.0,"Next return=-0.3482%. Correct agents: bear, risk, debate_judge. Wrong agents: technical, bull. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,SPY
"{""technical"": 0.158813, ""bull"": 0.099258, ""bear"": 0.250652, ""risk"": 0.250652, ""debate_judge"": 0.240626}",4.0,2.0,False,2025-10-23,SELL,bearish,0.0006563149259442014,2.0,"Next return=0.0656%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,SPY
"{""technical"": 0.248953, ""bull"": 0.139413, ""bear"": 0.160429, ""risk"": 0.25067, ""debate_judge"": 0.200536}",3.0,3.0,True,2025-11-20,BUY,sideways,0.0035060500359032076,3.0,"Next return=0.3506%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",2.0,False,,0.8,HOLD,SPY
"{""technical"": 0.158928, ""bull"": 0.09933, ""bear"": 0.249276, ""risk"": 0.253161, ""debate_judge"": 0.239305}",4.0,2.0,False,2025-12-18,SELL,bearish,0.01763697644405582,2.0,"Next return=1.7637%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,HOLD,SPY
"{""technical"": 0.248929, ""bull"": 0.1394, ""bear"": 0.159457, ""risk"": 0.252893, ""debate_judge"": 0.199321}",3.0,3.0,False,2026-01-15,BUY,sideways,-0.0006228659841349682,2.0,"Next return=-0.0623%. Correct agents: debate_judge. Wrong agents: technical, bull, bear, risk. Risk veto avoided loss: no.",3.0,False,,0.6,HOLD,SPY
"{""technical"": 0.248615, ""bull"": 0.139225, ""bear"": 0.158808, ""risk"": 0.251727, ""debate_judge"": 0.201626}",3.0,3.0,True,2026-02-12,BUY,sideways,0.015064919729931292,3.0,"Next return=1.5065%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",2.0,False,,0.8,HOLD,SPY
"{""technical"": 0.248612, ""bull"": 0.248612, ""bear"": 0.118782, ""risk"": 0.152886, ""debate_judge"": 0.231109}",3.0,4.0,True,2026-03-12,HOLD,bullish,0.01778934526167797,2.0,"Next return=1.7789%. Correct agents: bull. Wrong agents: technical, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,SPY
"{""technical"": 0.24821, ""bull"": 0.251418, ""bear"": 0.118282, ""risk"": 0.152081, ""debate_judge"": 0.23001}",3.0,4.0,False,2026-04-09,HOLD,bullish,-0.006639304285787628,2.0,"Next return=-0.6639%. Correct agents: risk, debate_judge. Wrong agents: technical, bull, bear. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,SPY
"{""technical"": 0.247143, ""bull"": 0.250256, ""bear"": 0.11748, ""risk"": 0.153222, ""debate_judge"": 0.231899}",3.0,3.0,False,2026-05-07,SELL,bullish,-0.005359436615217761,2.0,"Next return=-0.5359%. Correct agents: risk, debate_judge. Wrong agents: technical, bull, bear. Risk veto avoided loss: no.",4.0,False,,0.6,HOLD,SPY
"{""technical"": 0.25, ""bull"": 0.14, ""bear"": 0.16, ""risk"": 0.25, ""debate_judge"": 0.2}",3.0,2.0,False,2025-09-03,BUY,sideways,0.01328983953448204,2.0,"Next return=1.3290%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.4,HOLD,TSLA
"{""technical"": 0.250353, ""bull"": 0.250353, ""bear"": 0.11983, ""risk"": 0.149788, ""debate_judge"": 0.229675}",4.0,4.0,False,2025-09-30,HOLD,bullish,0.033144428390707636,2.0,"Next return=3.3144%. Correct agents: bull. Wrong agents: technical, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.4,HOLD,TSLA
"{""technical"": 0.24989, ""bull"": 0.253091, ""bear"": 0.119285, ""risk"": 0.149106, ""debate_judge"": 0.228629}",3.0,4.0,True,2025-10-28,BUY,bullish,0.0020845119924044475,3.0,"Next return=0.2085%. Correct agents: bull, risk. Wrong agents: technical, bear, debate_judge. Risk veto avoided loss: no.",2.0,False,,0.6,HOLD,TSLA
"{""technical"": 0.159933, ""bull"": 0.102471, ""bear"": 0.247868, ""risk"": 0.251775, ""debate_judge"": 0.237953}",4.0,2.0,False,2025-11-25,SELL,bearish,0.017119677587676296,2.0,"Next return=1.7120%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,TSLA
"{""technical"": 0.249232, ""bull"": 0.255338, ""bear"": 0.118364, ""risk"": 0.150201, ""debate_judge"": 0.226865}",3.0,4.0,False,2025-12-24,BUY,bullish,-0.021034181259704465,3.0,"Next return=-2.1034%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.6,BUY,TSLA
"{""technical"": 0.160577, ""bull"": 0.102758, ""bear"": 0.24765, ""risk"": 0.251271, ""debate_judge"": 0.237744}",4.0,2.0,True,2026-01-26,SELL,bearish,-0.009880556502607218,2.0,"Next return=-0.9881%. Correct agents: technical, bull, bear, risk, debate_judge. Wrong agents: none. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,TSLA
"{""technical"": 0.160548, ""bull"": 0.102615, ""bear"": 0.247772, ""risk"": 0.251205, ""debate_judge"": 0.237861}",4.0,1.0,False,2026-02-24,HOLD,bearish,0.019590573349979934,1.0,"Next return=1.9591%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,TSLA
"{""technical"": 0.160869, ""bull"": 0.102764, ""bear"": 0.247656, ""risk"": 0.250962, ""debate_judge"": 0.23775}",5.0,2.0,False,2026-03-24,HOLD,bearish,0.007623458833617258,1.0,"Next return=0.7623%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,TSLA
"{""technical"": 0.251063, ""bull"": 0.143622, ""bear"": 0.157939, ""risk"": 0.249953, ""debate_judge"": 0.197424}",4.0,3.0,True,2026-04-22,BUY,sideways,-0.03558619957523779,2.0,"Next return=-3.5586%. Correct agents: bear, risk, debate_judge. Wrong agents: technical, bull. Risk veto avoided loss: no.",4.0,False,,0.2,HOLD,TSLA
"{""technical"": 0.249085, ""bull"": 0.142416, ""bear"": 0.158813, ""risk"": 0.25117, ""debate_judge"": 0.198516}",3.0,3.0,False,2026-05-20,BUY,sideways,0.0014139776735901943,3.0,"Next return=0.1414%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.4,HOLD,TSLA
"{""technical"": 0.25, ""bull"": 0.14, ""bear"": 0.16, ""risk"": 0.25, ""debate_judge"": 0.2}",3.0,3.0,False,2025-08-29,BUY,sideways,-0.011906057637672718,3.0,"Next return=-1.1906%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",2.0,False,,0.6,HOLD,VOO
"{""technical"": 0.250353, ""bull"": 0.250353, ""bear"": 0.11983, ""risk"": 0.149788, ""debate_judge"": 0.229675}",3.0,4.0,False,2025-09-25,BUY,bullish,-0.0034818732113600648,3.0,"Next return=-0.3482%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,VOO
"{""technical"": 0.160029, ""bull"": 0.100018, ""bear"": 0.248664, ""risk"": 0.252571, ""debate_judge"": 0.238718}",4.0,2.0,False,2025-10-23,SELL,bearish,0.0006563149259442014,2.0,"Next return=0.0656%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,VOO
"{""technical"": 0.250299, ""bull"": 0.140168, ""bear"": 0.158892, ""risk"": 0.252026, ""debate_judge"": 0.198615}",3.0,3.0,True,2025-11-20,BUY,sideways,0.0035060500359032076,3.0,"Next return=0.3506%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",2.0,False,,0.8,HOLD,VOO
"{""technical"": 0.160051, ""bull"": 0.100032, ""bear"": 0.247432, ""risk"": 0.254951, ""debate_judge"": 0.237534}",4.0,2.0,False,2025-12-18,SELL,bearish,0.01763697644405582,2.0,"Next return=1.7637%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,HOLD,VOO
"{""technical"": 0.250172, ""bull"": 0.140096, ""bear"": 0.158034, ""risk"": 0.254155, ""debate_judge"": 0.197543}",3.0,3.0,False,2026-01-15,BUY,sideways,-0.0006228659841349682,3.0,"Next return=-0.0623%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.6,HOLD,VOO
"{""technical"": 0.25059, ""bull"": 0.14033, ""bear"": 0.157935, ""risk"": 0.253726, ""debate_judge"": 0.197418}",3.0,3.0,True,2026-02-12,BUY,sideways,0.015064919729931292,3.0,"Next return=1.5065%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",3.0,False,,0.8,HOLD,VOO
"{""technical"": 0.251182, ""bull"": 0.251182, ""bear"": 0.118469, ""risk"": 0.152103, ""debate_judge"": 0.227065}",4.0,4.0,True,2026-03-12,HOLD,bullish,0.01778934526167797,2.0,"Next return=1.7789%. Correct agents: bull. Wrong agents: technical, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,VOO
"{""technical"": 0.250669, ""bull"": 0.253909, ""bear"": 0.117977, ""risk"": 0.151322, ""debate_judge"": 0.226122}",3.0,4.0,False,2026-04-09,HOLD,bullish,-0.006639304285787628,3.0,"Next return=-0.6639%. Correct agents: risk. Wrong agents: technical, bull, bear, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.8,HOLD,VOO
"{""technical"": 0.250316, ""bull"": 0.141943, ""bear"": 0.156762, ""risk"": 0.255027, ""debate_judge"": 0.195952}",4.0,3.0,False,2026-05-07,SELL,sideways,-0.005359436615217761,2.0,"Next return=-0.5359%. Correct agents: bear, risk, debate_judge. Wrong agents: technical, bull. Risk veto avoided loss: no.",4.0,False,,0.6,HOLD,VOO
