asset_class,date,market_regime,risk_style,ticker,trust_bear,trust_bull,trust_debate_judge,trust_risk,trust_technical,weight_bear,weight_bull,weight_debate_judge,weight_risk,weight_technical
mega-cap stock,2026-03-24,bearish,medium_volatility,MSFT,0.462717,0.510266,0.483916,0.483916,0.510266,0.246557,0.101501,0.239775,0.249765,0.162402
mega-cap stock,2026-04-22,bullish,medium_volatility,MSFT,0.484208,0.529855,0.504559,0.504559,0.529855,0.117819,0.252244,0.228604,0.14909,0.252244
mega-cap stock,2026-05-20,bullish,medium_volatility,MSFT,0.50484,0.548661,0.524377,0.524377,0.548661,0.11793,0.252129,0.228675,0.149136,0.252129
high-growth stock,2025-09-03,bearish,high_volatility,NVDA,0.5,0.5,0.5,0.5,0.5,0.25,0.1,0.24,0.25,0.16
high-growth stock,2025-09-30,bullish,high_volatility,NVDA,0.494,0.4987,0.494,0.494,0.4987,0.11983,0.250353,0.229675,0.149788,0.250353
high-growth stock,2025-10-28,bullish,high_volatility,NVDA,0.48824,0.518752,0.51424,0.51424,0.518752,0.118205,0.2508,0.230118,0.150077,0.2508
high-growth stock,2025-11-25,bearish,high_volatility,NVDA,0.48271,0.538002,0.50767,0.50767,0.516964,0.246526,0.101916,0.240247,0.250257,0.161054
high-growth stock,2025-12-24,bullish,high_volatility,NVDA,0.477402,0.535714,0.501363,0.501363,0.515223,0.117629,0.253752,0.228741,0.149179,0.250698
high-growth stock,2026-01-26,sideways,high_volatility,NVDA,0.472306,0.554285,0.495308,0.495308,0.534614,0.15643,0.143723,0.198282,0.247852,0.253714
high-growth stock,2026-02-24,bullish,high_volatility,NVDA,0.467414,0.551574,0.489496,0.489496,0.532414,0.116737,0.255727,0.226769,0.147893,0.252875
high-growth stock,2026-03-24,bearish,high_volatility,NVDA,0.462717,0.569511,0.483916,0.483916,0.551117,0.244712,0.1043,0.23798,0.247896,0.165113
high-growth stock,2026-04-22,bullish,high_volatility,NVDA,0.458208,0.566404,0.478559,0.478559,0.548488,0.115909,0.257556,0.224941,0.146701,0.254893
high-growth stock,2026-05-20,bullish,high_volatility,NVDA,0.47988,0.563377,0.499417,0.499417,0.566548,0.116466,0.254941,0.225875,0.14731,0.255409
ETF benchmark,2025-08-29,sideways,low_volatility,SPY,0.5,0.5,0.5,0.5,0.5,0.16,0.14,0.2,0.25,0.25
ETF benchmark,2025-09-25,bullish,low_volatility,SPY,0.494,0.4987,0.494,0.494,0.4987,0.11983,0.250353,0.229675,0.149788,0.250353
ETF benchmark,2025-10-23,bearish,low_volatility,SPY,0.51424,0.497434,0.51424,0.51424,0.497434,0.250652,0.099258,0.240626,0.250652,0.158813
ETF benchmark,2025-11-20,sideways,low_volatility,SPY,0.50767,0.496201,0.50767,0.50767,0.496201,0.160429,0.139413,0.200536,0.25067,0.248953
ETF benchmark,2025-12-18,bearish,low_volatility,SPY,0.501363,0.495,0.501363,0.527363,0.495,0.249276,0.09933,0.239305,0.253161,0.158928
ETF benchmark,2026-01-15,sideways,low_volatility,SPY,0.495308,0.49383,0.495308,0.520268,0.49383,0.159457,0.1394,0.199321,0.252893,0.248929
ETF benchmark,2026-02-12,sideways,low_volatility,SPY,0.489496,0.49269,0.515496,0.513457,0.49269,0.158808,0.139225,0.201626,0.251727,0.248615
ETF benchmark,2026-03-12,bullish,low_volatility,SPY,0.483916,0.49158,0.508876,0.532919,0.49158,0.118782,0.248612,0.231109,0.152886,0.248612
ETF benchmark,2026-04-09,bullish,low_volatility,SPY,0.478559,0.511917,0.502521,0.525602,0.490499,0.118282,0.251418,0.23001,0.152081,0.24821
ETF benchmark,2026-05-07,bullish,low_volatility,SPY,0.473417,0.510307,0.52242,0.544578,0.489446,0.11748,0.250256,0.231899,0.153222,0.247143
high-volatility growth stock,2025-09-03,sideways,very_high_volatility,TSLA,0.5,0.5,0.5,0.5,0.5,0.16,0.14,0.2,0.25,0.25
high-volatility growth stock,2025-09-30,bullish,very_high_volatility,TSLA,0.494,0.4987,0.494,0.494,0.4987,0.11983,0.250353,0.229675,0.149788,0.250353
high-volatility growth stock,2025-10-28,bullish,very_high_volatility,TSLA,0.48824,0.518752,0.48824,0.48824,0.497434,0.119285,0.253091,0.228629,0.149106,0.24989
high-volatility growth stock,2025-11-25,bearish,very_high_volatility,TSLA,0.48271,0.538002,0.48271,0.50871,0.496201,0.247868,0.102471,0.237953,0.251775,0.159933
high-volatility growth stock,2025-12-24,bullish,very_high_volatility,TSLA,0.477402,0.535714,0.477402,0.502362,0.495,0.118364,0.255338,0.226865,0.150201,0.249232
high-volatility growth stock,2026-01-26,bearish,very_high_volatility,TSLA,0.472306,0.533485,0.472306,0.496268,0.49383,0.24765,0.102758,0.237744,0.251271,0.160577
high-volatility growth stock,2026-02-24,bearish,very_high_volatility,TSLA,0.493414,0.552146,0.493414,0.516417,0.514077,0.247772,0.102615,0.237861,0.251205,0.160548
high-volatility growth stock,2026-03-24,bearish,very_high_volatility,TSLA,0.487677,0.54949,0.487677,0.50976,0.512411,0.247656,0.102764,0.23775,0.250962,0.160869
high-volatility growth stock,2026-04-22,sideways,very_high_volatility,TSLA,0.48217,0.546903,0.48217,0.50337,0.510788,0.157939,0.143622,0.197424,0.249953,0.251063
high-volatility growth stock,2026-05-20,sideways,very_high_volatility,TSLA,0.502883,0.544384,0.502883,0.523235,0.509208,0.158813,0.142416,0.198516,0.25117,0.249085
,2025-08-29,sideways,,VOO,0.5,0.5,0.5,0.5,0.5,0.16,0.14,0.2,0.25,0.25
,2025-09-25,bullish,,VOO,0.494,0.4987,0.494,0.494,0.4987,0.11983,0.250353,0.229675,0.149788,0.250353
,2025-10-23,bearish,,VOO,0.48824,0.497434,0.48824,0.51424,0.497434,0.248664,0.100018,0.238718,0.252571,0.160029
,2025-11-20,sideways,,VOO,0.48271,0.496201,0.48271,0.50767,0.496201,0.158892,0.140168,0.198615,0.252026,0.250299
,2025-12-18,bearish,,VOO,0.477402,0.495,0.477402,0.527363,0.495,0.247432,0.100032,0.237534,0.254951,0.160051
,2026-01-15,sideways,,VOO,0.472306,0.49383,0.472306,0.520268,0.49383,0.158034,0.140096,0.197543,0.254155,0.250172
,2026-02-12,sideways,,VOO,0.467414,0.49269,0.467414,0.513457,0.49269,0.157935,0.14033,0.197418,0.253726,0.25059
,2026-03-12,bullish,,VOO,0.462717,0.49158,0.462717,0.506919,0.49158,0.118469,0.251182,0.227065,0.152103,0.251182
,2026-04-09,bullish,,VOO,0.458208,0.511917,0.458208,0.500642,0.490499,0.117977,0.253909,0.226122,0.151322,0.250669
,2026-05-07,sideways,,VOO,0.45388,0.510307,0.45388,0.520616,0.489446,0.156762,0.141943,0.195952,0.255027,0.250316
