subject,predicate,object,date,source,confidence
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-24,SNAPSHOT_OF,Asset:AAPL,2025-09-24,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-24,DAILY_RESULT_OF,Asset:AAPL,2025-09-24,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-24,HAS_AGENT_VALUE,AgentValue:104658.08743464216,2025-09-24,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-24,HAS_BUY_HOLD_VALUE,BuyHoldValue:105803.65561940268,2025-09-24,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-24,HAS_AGENT_POSITION,Position:0.8,2025-09-24,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-25,SNAPSHOT_OF,Asset:AAPL,2025-09-25,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-25,DAILY_RESULT_OF,Asset:AAPL,2025-09-25,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-25,HAS_AGENT_VALUE,AgentValue:106171.27602783227,2025-09-25,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-25,HAS_BUY_HOLD_VALUE,BuyHoldValue:107715.84521608667,2025-09-25,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-25,HAS_AGENT_POSITION,Position:0.8,2025-09-25,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-26,SNAPSHOT_OF,Asset:AAPL,2025-09-26,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-26,DAILY_RESULT_OF,Asset:AAPL,2025-09-26,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-26,HAS_AGENT_VALUE,AgentValue:105705.04870515694,2025-09-26,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-26,HAS_BUY_HOLD_VALUE,BuyHoldValue:107124.58277670945,2025-09-26,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-26,HAS_AGENT_POSITION,Position:0.8,2025-09-26,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-29,SNAPSHOT_OF,Asset:AAPL,2025-09-29,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-29,DAILY_RESULT_OF,Asset:AAPL,2025-09-29,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-29,HAS_AGENT_VALUE,AgentValue:105364.0946607036,2025-09-29,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-29,HAS_BUY_HOLD_VALUE,BuyHoldValue:106692.66679675503,2025-09-29,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-29,HAS_AGENT_POSITION,Position:0.8,2025-09-29,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-30,SNAPSHOT_OF,Asset:AAPL,2025-09-30,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-30,DAILY_RESULT_OF,Asset:AAPL,2025-09-30,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-30,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-09-30,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-30,HAS_BUY_HOLD_VALUE,BuyHoldValue:106776.53335434599,2025-09-30,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-30,HAS_AGENT_POSITION,Position:0.8,2025-09-30,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-01,SNAPSHOT_OF,Asset:AAPL,2025-10-01,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-01,DAILY_RESULT_OF,Asset:AAPL,2025-10-01,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-01,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-01,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-01,HAS_BUY_HOLD_VALUE,BuyHoldValue:107120.38624046887,2025-10-01,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-01,HAS_AGENT_POSITION,Position:0.0,2025-10-01,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-02,SNAPSHOT_OF,Asset:AAPL,2025-10-02,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-02,DAILY_RESULT_OF,Asset:AAPL,2025-10-02,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-02,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-02,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-02,HAS_BUY_HOLD_VALUE,BuyHoldValue:107824.87815767701,2025-10-02,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-02,HAS_AGENT_POSITION,Position:0.0,2025-10-02,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-03,SNAPSHOT_OF,Asset:AAPL,2025-10-03,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-03,DAILY_RESULT_OF,Asset:AAPL,2025-10-03,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-03,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-03,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-03,HAS_BUY_HOLD_VALUE,BuyHoldValue:108198.08754731777,2025-10-03,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-03,HAS_AGENT_POSITION,Position:0.0,2025-10-03,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-06,SNAPSHOT_OF,Asset:AAPL,2025-10-06,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-06,DAILY_RESULT_OF,Asset:AAPL,2025-10-06,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-06,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-06,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-06,HAS_BUY_HOLD_VALUE,BuyHoldValue:107640.36531425484,2025-10-06,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-06,HAS_AGENT_POSITION,Position:0.0,2025-10-06,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-07,SNAPSHOT_OF,Asset:AAPL,2025-10-07,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-07,DAILY_RESULT_OF,Asset:AAPL,2025-10-07,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-07,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-07,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-07,HAS_BUY_HOLD_VALUE,BuyHoldValue:107552.31505386748,2025-10-07,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-07,HAS_AGENT_POSITION,Position:0.0,2025-10-07,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-08,SNAPSHOT_OF,Asset:AAPL,2025-10-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-08,DAILY_RESULT_OF,Asset:AAPL,2025-10-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-08,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-08,HAS_BUY_HOLD_VALUE,BuyHoldValue:108214.87369228013,2025-10-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-08,HAS_AGENT_POSITION,Position:0.0,2025-10-08,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-09,SNAPSHOT_OF,Asset:AAPL,2025-10-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-09,DAILY_RESULT_OF,Asset:AAPL,2025-10-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-09,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-09,HAS_BUY_HOLD_VALUE,BuyHoldValue:106529.11096764753,2025-10-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-09,HAS_AGENT_POSITION,Position:0.0,2025-10-09,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-10,SNAPSHOT_OF,Asset:AAPL,2025-10-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-10,DAILY_RESULT_OF,Asset:AAPL,2025-10-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-10,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-10,HAS_BUY_HOLD_VALUE,BuyHoldValue:102851.51429186891,2025-10-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-10,HAS_AGENT_POSITION,Position:0.0,2025-10-10,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-13,SNAPSHOT_OF,Asset:AAPL,2025-10-13,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-13,DAILY_RESULT_OF,Asset:AAPL,2025-10-13,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-13,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-13,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-13,HAS_BUY_HOLD_VALUE,BuyHoldValue:103853.73569688591,2025-10-13,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-13,HAS_AGENT_POSITION,Position:0.0,2025-10-13,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-14,SNAPSHOT_OF,Asset:AAPL,2025-10-14,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-14,DAILY_RESULT_OF,Asset:AAPL,2025-10-14,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-14,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-14,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-14,HAS_BUY_HOLD_VALUE,BuyHoldValue:103899.8590951999,2025-10-14,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-14,HAS_AGENT_POSITION,Position:0.0,2025-10-14,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-15,SNAPSHOT_OF,Asset:AAPL,2025-10-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-15,DAILY_RESULT_OF,Asset:AAPL,2025-10-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-15,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-15,HAS_BUY_HOLD_VALUE,BuyHoldValue:104558.22119737195,2025-10-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-15,HAS_AGENT_POSITION,Position:0.0,2025-10-15,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-16,SNAPSHOT_OF,Asset:AAPL,2025-10-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-16,DAILY_RESULT_OF,Asset:AAPL,2025-10-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-16,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-16,HAS_BUY_HOLD_VALUE,BuyHoldValue:103765.66618633231,2025-10-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-16,HAS_AGENT_POSITION,Position:0.0,2025-10-16,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-17,SNAPSHOT_OF,Asset:AAPL,2025-10-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-17,DAILY_RESULT_OF,Asset:AAPL,2025-10-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-17,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-17,HAS_BUY_HOLD_VALUE,BuyHoldValue:105795.26896364364,2025-10-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-17,HAS_AGENT_POSITION,Position:0.0,2025-10-17,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-20,SNAPSHOT_OF,Asset:AAPL,2025-10-20,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-20,DAILY_RESULT_OF,Asset:AAPL,2025-10-20,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-20,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-20,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-20,HAS_BUY_HOLD_VALUE,BuyHoldValue:109967.70399609719,2025-10-20,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-20,HAS_AGENT_POSITION,Position:0.0,2025-10-20,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-10-21,SNAPSHOT_OF,Asset:AAPL,2025-10-21,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-21,DAILY_RESULT_OF,Asset:AAPL,2025-10-21,real_agent_history,1.0
DailyBacktest:AAPL_2025-10-21,HAS_AGENT_VALUE,AgentValue:105430.35243963578,2025-10-21,real_agent_history,1.0
