asset,date,trend_state,vol_state,momentum_state
SPY,2022-06-08,Sideways,LowVolatility,PositiveMomentum
SPY,2022-06-09,Sideways,LowVolatility,PositiveMomentum
SPY,2022-06-10,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-13,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-14,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-15,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-16,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-06-17,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-06-21,Downtrend,MediumVolatility,Oversold
SPY,2022-06-22,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-23,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-06-24,Downtrend,MediumVolatility,NegativeMomentum
SPY,2022-06-27,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-06-28,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-06-29,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-06-30,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-01,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-05,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-06,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-07,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-08,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-11,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-12,Downtrend,LowVolatility,PositiveMomentum
SPY,2022-07-13,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-14,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-15,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-18,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-19,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-20,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-21,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-22,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-25,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-26,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-27,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-28,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-29,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-08-01,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-08-02,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-08-03,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-04,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-05,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-08,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-09,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-10,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-11,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-12,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-15,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-16,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-17,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-18,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-19,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-22,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-08-23,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-08-24,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-08-25,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-08-26,Sideways,LowVolatility,NegativeMomentum
SPY,2022-08-29,Sideways,LowVolatility,NegativeMomentum
SPY,2022-08-30,Sideways,LowVolatility,NegativeMomentum
SPY,2022-08-31,Downtrend,LowVolatility,Oversold
SPY,2022-09-01,Downtrend,LowVolatility,Oversold
SPY,2022-09-02,Downtrend,LowVolatility,Oversold
SPY,2022-09-06,Downtrend,LowVolatility,Oversold
SPY,2022-09-07,Sideways,LowVolatility,Oversold
SPY,2022-09-08,Sideways,LowVolatility,Oversold
SPY,2022-09-09,Sideways,LowVolatility,NegativeMomentum
SPY,2022-09-12,Sideways,LowVolatility,NegativeMomentum
SPY,2022-09-13,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-14,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-15,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-16,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-19,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-20,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-21,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-22,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-23,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-26,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-27,StrongDowntrend,LowVolatility,Oversold
SPY,2022-09-28,StrongDowntrend,LowVolatility,Oversold
SPY,2022-09-29,StrongDowntrend,LowVolatility,Oversold
SPY,2022-09-30,StrongDowntrend,LowVolatility,Oversold
SPY,2022-10-03,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-10-04,Downtrend,MediumVolatility,NegativeMomentum
SPY,2022-10-05,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-06,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-07,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-10,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-11,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-10-12,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-10-13,StrongDowntrend,LowVolatility,PositiveMomentum
SPY,2022-10-14,StrongDowntrend,LowVolatility,PositiveMomentum
SPY,2022-10-17,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-18,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-10-19,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-10-20,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-10-21,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-24,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-25,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-26,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-27,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-28,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-31,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-01,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-02,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-03,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-04,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-07,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-08,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-09,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-10,Uptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-11,Uptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-14,Uptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-15,Uptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-16,StrongUptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-17,StrongUptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-18,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-11-21,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-11-22,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-11-23,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-11-25,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-11-28,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-11-29,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-11-30,StrongUptrend,MediumVolatility,Overbought
SPY,2022-12-01,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-12-02,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-12-05,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-12-06,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-12-07,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-12-08,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-12-09,Sideways,LowVolatility,NegativeMomentum
SPY,2022-12-12,Sideways,LowVolatility,NegativeMomentum
SPY,2022-12-13,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-12-14,Sideways,LowVolatility,NegativeMomentum
SPY,2022-12-15,Sideways,LowVolatility,NegativeMomentum
SPY,2022-12-16,Sideways,LowVolatility,NegativeMomentum
SPY,2022-12-19,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-12-20,Downtrend,LowVolatility,Oversold
SPY,2022-12-21,Sideways,LowVolatility,NegativeMomentum
SPY,2022-12-22,Downtrend,LowVolatility,Oversold
SPY,2022-12-23,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-12-27,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-12-28,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-12-29,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-12-30,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-01-03,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-01-04,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-01-05,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-01-06,Sideways,LowVolatility,NegativeMomentum
SPY,2023-01-09,Sideways,LowVolatility,PositiveMomentum
SPY,2023-01-10,Sideways,LowVolatility,PositiveMomentum
SPY,2023-01-11,Sideways,LowVolatility,PositiveMomentum
SPY,2023-01-12,Sideways,LowVolatility,PositiveMomentum
SPY,2023-01-13,Sideways,LowVolatility,PositiveMomentum
SPY,2023-01-17,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-01-18,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-01-19,Sideways,LowVolatility,PositiveMomentum
SPY,2023-01-20,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-01-23,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-01-24,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-01-25,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-01-26,Uptrend,LowVolatility,Overbought
SPY,2023-01-27,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-01-30,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-01-31,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-02-01,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-02-02,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-02-03,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-02-06,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-02-07,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-02-08,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-02-09,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-02-10,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-02-13,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-02-14,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-02-15,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2023-02-16,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2023-02-17,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-02-21,Sideways,LowVolatility,NegativeMomentum
SPY,2023-02-22,Sideways,LowVolatility,NegativeMomentum
SPY,2023-02-23,Sideways,LowVolatility,NegativeMomentum
SPY,2023-02-24,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-02-27,Sideways,LowVolatility,NegativeMomentum
SPY,2023-02-28,Sideways,LowVolatility,Oversold
SPY,2023-03-01,Downtrend,LowVolatility,Oversold
SPY,2023-03-02,Sideways,LowVolatility,NegativeMomentum
SPY,2023-03-03,Sideways,LowVolatility,NegativeMomentum
SPY,2023-03-06,Sideways,LowVolatility,NegativeMomentum
SPY,2023-03-07,Sideways,LowVolatility,NegativeMomentum
SPY,2023-03-08,Sideways,LowVolatility,NegativeMomentum
SPY,2023-03-09,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-03-10,Downtrend,LowVolatility,Oversold
SPY,2023-03-13,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-03-14,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-03-15,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-03-16,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-03-17,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2023-03-20,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-03-21,Sideways,LowVolatility,PositiveMomentum
SPY,2023-03-22,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-03-23,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-03-24,Sideways,LowVolatility,PositiveMomentum
SPY,2023-03-27,Sideways,LowVolatility,PositiveMomentum
SPY,2023-03-28,Sideways,LowVolatility,PositiveMomentum
SPY,2023-03-29,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-03-30,Sideways,LowVolatility,PositiveMomentum
SPY,2023-03-31,Sideways,LowVolatility,PositiveMomentum
SPY,2023-04-03,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-04-04,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-04-05,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-04-06,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-04-10,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-04-11,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-04-12,Uptrend,LowVolatility,Overbought
SPY,2023-04-13,StrongUptrend,LowVolatility,Overbought
SPY,2023-04-14,StrongUptrend,LowVolatility,Overbought
SPY,2023-04-17,StrongUptrend,LowVolatility,Overbought
SPY,2023-04-18,StrongUptrend,LowVolatility,Overbought
SPY,2023-04-19,Uptrend,LowVolatility,Overbought
SPY,2023-04-20,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-04-21,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-04-24,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-04-25,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-04-26,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-04-27,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-04-28,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-05-01,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-02,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-03,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-04,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-05,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-08,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-09,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-10,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-11,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-12,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-15,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-16,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-17,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-18,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-05-19,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-05-22,Sideways,LowVolatility,PositiveMomentum
SPY,2023-05-23,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-05-24,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-05-25,Sideways,LowVolatility,NegativeMomentum
SPY,2023-05-26,Sideways,LowVolatility,PositiveMomentum
SPY,2023-05-30,Sideways,LowVolatility,PositiveMomentum
SPY,2023-05-31,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-06-01,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-06-02,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-06-05,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-06-06,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-06-07,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-06-08,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-06-09,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-06-12,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-06-13,StrongUptrend,LowVolatility,Overbought
SPY,2023-06-14,StrongUptrend,LowVolatility,Overbought
SPY,2023-06-15,StrongUptrend,LowVolatility,Overbought
SPY,2023-06-16,StrongUptrend,LowVolatility,Overbought
SPY,2023-06-20,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-06-21,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-06-22,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-06-23,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2023-06-26,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2023-06-27,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-06-28,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-06-29,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2023-06-30,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2023-07-03,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-07-05,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-07-06,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-07-07,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-07-10,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-07-11,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-07-12,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-07-13,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-07-14,Uptrend,LowVolatility,Overbought
SPY,2023-07-17,Uptrend,LowVolatility,Overbought
SPY,2023-07-18,Uptrend,LowVolatility,Overbought
SPY,2023-07-19,StrongUptrend,LowVolatility,Overbought
SPY,2023-07-20,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-07-21,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-07-24,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-07-25,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2023-07-26,StrongUptrend,LowVolatility,Overbought
SPY,2023-07-27,Uptrend,LowVolatility,Overbought
SPY,2023-07-28,StrongUptrend,LowVolatility,Overbought
SPY,2023-07-31,Uptrend,LowVolatility,Overbought
SPY,2023-08-01,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-08-02,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-08-03,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-08-04,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-08-07,Uptrend,LowVolatility,NegativeMomentum
SPY,2023-08-08,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-09,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-10,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-11,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-14,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-15,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-16,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-08-17,Downtrend,LowVolatility,Oversold
SPY,2023-08-18,Downtrend,LowVolatility,Oversold
SPY,2023-08-21,Downtrend,LowVolatility,Oversold
SPY,2023-08-22,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-08-23,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-24,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-08-25,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-08-28,Sideways,LowVolatility,NegativeMomentum
SPY,2023-08-29,Sideways,LowVolatility,PositiveMomentum
SPY,2023-08-30,Sideways,LowVolatility,PositiveMomentum
SPY,2023-08-31,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-01,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-05,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-06,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-07,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-08,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-11,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-12,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-13,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-14,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-09-15,Sideways,LowVolatility,PositiveMomentum
SPY,2023-09-18,Sideways,LowVolatility,NegativeMomentum
SPY,2023-09-19,Sideways,LowVolatility,NegativeMomentum
SPY,2023-09-20,Sideways,LowVolatility,Oversold
SPY,2023-09-21,Downtrend,LowVolatility,Oversold
SPY,2023-09-22,Sideways,LowVolatility,Oversold
SPY,2023-09-25,Downtrend,LowVolatility,Oversold
SPY,2023-09-26,Downtrend,LowVolatility,Oversold
SPY,2023-09-27,StrongDowntrend,LowVolatility,Oversold
SPY,2023-09-28,StrongDowntrend,LowVolatility,Oversold
SPY,2023-09-29,StrongDowntrend,LowVolatility,Oversold
SPY,2023-10-02,StrongDowntrend,LowVolatility,Oversold
SPY,2023-10-03,StrongDowntrend,LowVolatility,Oversold
SPY,2023-10-04,StrongDowntrend,LowVolatility,Oversold
SPY,2023-10-05,StrongDowntrend,LowVolatility,Oversold
SPY,2023-10-06,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-10-09,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-10,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-11,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-12,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-13,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-16,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-17,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-18,Downtrend,LowVolatility,PositiveMomentum
SPY,2023-10-19,Sideways,LowVolatility,PositiveMomentum
SPY,2023-10-20,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-10-23,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-10-24,Sideways,LowVolatility,NegativeMomentum
SPY,2023-10-25,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-10-26,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-10-27,Downtrend,LowVolatility,Oversold
SPY,2023-10-30,Downtrend,LowVolatility,NegativeMomentum
SPY,2023-10-31,Sideways,LowVolatility,NegativeMomentum
SPY,2023-11-01,Sideways,LowVolatility,NegativeMomentum
SPY,2023-11-02,Sideways,LowVolatility,PositiveMomentum
SPY,2023-11-03,Sideways,LowVolatility,PositiveMomentum
SPY,2023-11-06,Sideways,LowVolatility,PositiveMomentum
SPY,2023-11-07,Sideways,LowVolatility,PositiveMomentum
SPY,2023-11-08,Sideways,LowVolatility,PositiveMomentum
SPY,2023-11-09,Sideways,LowVolatility,PositiveMomentum
SPY,2023-11-10,Uptrend,LowVolatility,PositiveMomentum
SPY,2023-11-13,Sideways,LowVolatility,PositiveMomentum
SPY,2023-11-14,Uptrend,LowVolatility,Overbought
SPY,2023-11-15,Uptrend,LowVolatility,Overbought
SPY,2023-11-16,Uptrend,LowVolatility,Overbought
SPY,2023-11-17,Uptrend,LowVolatility,Overbought
SPY,2023-11-20,Uptrend,LowVolatility,Overbought
SPY,2023-11-21,Uptrend,LowVolatility,Overbought
SPY,2023-11-22,StrongUptrend,LowVolatility,Overbought
SPY,2023-11-24,StrongUptrend,LowVolatility,Overbought
SPY,2023-11-27,StrongUptrend,LowVolatility,Overbought
SPY,2023-11-28,StrongUptrend,LowVolatility,Overbought
SPY,2023-11-29,StrongUptrend,LowVolatility,Overbought
SPY,2023-11-30,StrongUptrend,LowVolatility,Overbought
SPY,2023-12-01,StrongUptrend,LowVolatility,Overbought
SPY,2023-12-04,StrongUptrend,LowVolatility,Overbought
SPY,2023-12-05,StrongUptrend,LowVolatility,PositiveMomentum
