asset,date,technical_score,bull_score,bear_score,risk_score,raw_position,final_position,action,veto_applied,veto_reason,trend_state,vol_state,momentum_state
SPY,2022-05-02,-0.68,-0.25,0.65,0.89594,0.0,0.0,REDUCE,True,strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-05-03,-0.68,-0.25,0.65,0.88765,0.0,0.0,REDUCE,True,strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-05-04,-0.42049,-0.19484,0.65,0.98376,0.0,0.0,REDUCE,True,strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-05-05,-0.68,-0.25,0.65,1.06712,0.0,0.0,REDUCE,True,volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-06,-0.68,-0.25,0.65,1.0611,0.0,0.0,REDUCE,True,volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-09,-0.68,-0.25,0.65,1.11776,0.0,0.0,REDUCE,True,volatility_limit_triggered,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-10,-0.68,-0.25,0.65,1.11119,0.0,0.0,REDUCE,True,volatility_limit_triggered,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-11,-0.68,-0.25,0.65,1.12009,0.0,0.0,REDUCE,True,volatility_limit_triggered,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-12,-0.68,-0.25,0.65,1.09951,0.0,0.0,REDUCE,True,volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-13,-0.68,-0.25,0.65,1.15797,0.0,0.0,REDUCE,True,volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-16,-0.5,-0.25,0.65,1.15642,0.0,0.0,REDUCE,True,volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-17,-0.5,-0.25,0.65,1.17094,0.0,0.0,REDUCE,True,volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-18,-0.68,-0.25,0.65,1.25614,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-19,-0.68,-0.25,0.65,1.25055,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-20,-0.68,-0.25,0.65,1.21781,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-23,-0.68,-0.25,0.65,1.24647,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-24,-0.36682,-0.21351,0.65,1.20155,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-25,-0.34692,-0.11076,0.65,1.20848,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-05-26,-0.18408,-0.13037,0.65,1.18988,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-05-27,0.02769,0.11165,0.45,1.14301,0.1514,0.1514,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-05-31,-0.01309,0.06504,0.45,1.14317,0.12844,0.12844,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-01,-0.05708,0.01477,0.65,1.14588,0.01623,0.01623,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-06-02,-0.0952,-0.0288,0.65,1.10181,0.0023,0.0023,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-06-03,-0.02766,0.04839,0.45,1.02493,0.12981,0.12981,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-06,0.00383,0.08438,0.45,1.02277,0.14771,0.14771,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-07,0.15444,0.25651,0.45,0.93306,0.23975,0.23975,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-06-08,0.10638,0.20158,0.45,0.94787,0.2115,0.2115,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-06-09,0.07744,0.1685,0.45,0.97738,0.19282,0.19282,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-06-10,-0.02266,0.0541,0.45,1.04996,0.1306,0.1306,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-13,-0.6628,-0.25,0.65,1.10174,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-14,-0.65937,-0.25,0.65,1.10169,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-15,-0.67961,-0.25,0.65,1.08136,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-16,-0.65517,-0.25,0.65,1.04302,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-06-17,-0.64209,-0.24239,0.65,1.04232,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-06-21,-0.56079,-0.14948,0.65,1.10145,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,Oversold
SPY,2022-06-22,-0.62867,-0.22705,0.65,1.06725,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-06-23,-0.57066,-0.16076,0.65,1.07659,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-06-24,-0.49421,-0.07338,0.65,1.15194,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,NegativeMomentum
SPY,2022-06-27,-0.32438,-0.08501,0.65,1.11859,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-06-28,-0.43,-0.17,0.65,1.08333,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-06-29,-0.43,-0.17,0.65,1.08396,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-06-30,-0.43,-0.17,0.65,1.08398,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-01,-0.25,-0.17,0.65,1.05864,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-05,-0.24365,-0.17,0.65,1.04875,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-06,-0.24258,-0.17,0.65,1.04911,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-07,-0.2252,-0.17,0.65,1.06254,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-08,-0.37193,-0.13935,0.65,1.05782,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-11,-0.15005,-0.09148,0.65,1.02721,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-07-12,-0.08054,-0.01205,0.65,0.96777,0.02108,0.02108,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,PositiveMomentum
SPY,2022-07-13,0.03575,0.12085,0.25,0.83645,0.22077,0.22077,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-14,0.03782,0.12322,0.25,0.83606,0.22197,0.22197,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-15,0.05473,0.14255,0.45,0.85153,0.19023,0.19023,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-18,0.14605,0.24692,0.25,0.73396,0.29116,0.29116,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-19,0.25,0.36874,0.25,0.79576,0.34535,0.34535,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-20,0.18383,0.29009,0.25,0.74344,0.31165,0.31165,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-21,0.0481,0.46069,0.25,0.74683,0.35433,0.35433,HOLD,True,drawdown_limit_triggered,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-22,0.15766,0.38018,0.25,0.75757,0.36491,0.36,HOLD,True,drawdown_limit_triggered,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-25,0.04926,0.1363,0.25,0.64725,0.2437,0.2437,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-26,0.02072,0.10368,0.25,0.66458,0.22623,0.22623,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-07-27,0.18748,0.41427,0.25,0.67915,0.38996,0.36,HOLD,True,drawdown_limit_triggered,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-28,0.23678,0.4706,0.25,0.68856,0.42094,0.36,REDUCE,True,drawdown_limit_triggered,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-07-29,0.07,0.56835,0.25,0.68471,0.39678,0.36,REDUCE,True,drawdown_limit_triggered,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-08-01,0.07,0.50983,0.25,0.68584,0.3799,0.36,HOLD,True,drawdown_limit_triggered,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-08-02,0.05916,0.47333,0.25,0.69818,0.36509,0.36,HOLD,True,drawdown_limit_triggered,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-08-03,0.57,0.54564,0.5,0.71532,0.47267,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-04,0.54656,0.55893,0.25,0.70207,0.5428,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-05,0.54333,0.47523,0.5,0.703,0.44677,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-08,0.57,0.5994,0.25,0.67857,0.56356,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-09,0.75,0.62056,0.25,0.66603,0.62724,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-10,0.57,0.7346,0.25,0.68764,0.60169,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-11,0.57,0.6654,0.5,0.68374,0.50743,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-12,0.57,0.6559,0.5,0.67686,0.50541,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-15,0.57,0.71127,0.5,0.65283,0.52221,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-16,0.57,0.60168,0.5,0.58975,0.49761,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-17,0.57,0.54302,0.5,0.60743,0.48041,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,Overbought
SPY,2022-08-18,0.57,0.59188,0.25,0.60176,0.56717,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-19,0.73963,0.57386,0.25,0.61887,0.61411,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-08-22,0.40732,0.39979,0.25,0.69075,0.45414,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-08-23,0.44215,0.4396,0.25,0.66818,0.47823,0.36,REDUCE,True,drawdown_limit_triggered,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-08-24,0.36023,0.24597,0.25,0.59234,0.40254,0.36,REDUCE,True,drawdown_limit_triggered,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-08-25,0.36584,0.25239,0.25,0.59758,0.40576,0.36,REDUCE,True,drawdown_limit_triggered,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-08-26,0.19325,-0.06486,0.25,0.72298,0.2345,0.2345,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,NegativeMomentum
SPY,2022-08-29,0.18064,-0.07927,0.25,0.72635,0.22713,0.22713,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,NegativeMomentum
SPY,2022-08-30,-0.01449,-0.09655,0.25,0.73422,0.16397,0.16397,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,NegativeMomentum
SPY,2022-08-31,-0.09273,-0.18598,0.45,0.70273,0.06546,0.06546,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,Oversold
SPY,2022-09-01,-0.08,-0.17143,0.45,0.70588,0.07138,0.07138,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,Oversold
SPY,2022-09-02,-0.10971,-0.20538,0.45,0.71386,0.05624,0.05624,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,Oversold
SPY,2022-09-06,-0.11839,-0.21531,0.45,0.71377,0.05202,0.05202,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,Oversold
SPY,2022-09-07,-0.04546,-0.13196,0.25,0.75978,0.14516,0.14516,REDUCE,True,drawdown_limit_triggered,Sideways,LowVolatility,Oversold
SPY,2022-09-08,-0.09342,-0.18677,0.25,0.70732,0.12148,0.12148,REDUCE,True,drawdown_limit_triggered,Sideways,LowVolatility,Oversold
SPY,2022-09-09,-0.04159,-0.12753,0.25,0.74247,0.14805,0.14805,REDUCE,True,drawdown_limit_triggered,Sideways,LowVolatility,NegativeMomentum
SPY,2022-09-12,0.11782,-0.15107,0.25,0.72026,0.19226,0.19226,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,NegativeMomentum
SPY,2022-09-13,-0.18,-0.25,0.65,0.88705,0.0,0.0,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-14,-0.18,-0.25,0.65,0.88955,0.0,0.0,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-15,-0.18,-0.25,0.65,0.89358,0.0,0.0,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-16,-0.18,-0.25,0.65,0.8927,0.0,0.0,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-19,-0.18,-0.25,0.65,0.89951,0.0,0.0,REDUCE,True,drawdown_limit_triggered,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-09-20,-0.67776,-0.25,0.65,0.87751,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-21,-0.68,-0.25,0.65,0.89474,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-22,-0.68,-0.25,0.65,0.89036,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-23,-0.68,-0.25,0.65,0.86457,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-26,-0.68,-0.25,0.45,0.78576,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-09-27,-0.68,-0.25,0.45,0.78624,0.0,0.0,REDUCE,True,drawdown_limit_triggered,StrongDowntrend,LowVolatility,Oversold
SPY,2022-09-28,-0.67329,-0.25,0.45,0.84109,0.0,0.0,REDUCE,True,drawdown_limit_triggered,StrongDowntrend,LowVolatility,Oversold
SPY,2022-09-29,-0.68,-0.25,0.65,0.86849,0.0,0.0,REDUCE,True,drawdown_limit_triggered,StrongDowntrend,LowVolatility,Oversold
SPY,2022-09-30,-0.68,-0.25,0.65,0.87406,0.0,0.0,REDUCE,True,drawdown_limit_triggered,StrongDowntrend,LowVolatility,Oversold
SPY,2022-10-03,-0.6587,-0.25,0.65,0.95661,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-10-04,-0.54456,-0.13092,0.65,1.05023,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,NegativeMomentum
SPY,2022-10-05,-0.18205,-0.12805,0.65,1.01761,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-06,-0.2376,-0.17,0.65,1.01468,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-07,-0.43,-0.17,0.65,1.02718,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-10,-0.43,-0.17,0.65,1.00408,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-11,-0.68,-0.25,0.65,0.87433,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-10-12,-0.68,-0.25,0.65,0.86739,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-10-13,-0.21666,-0.16762,0.65,0.94841,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,PositiveMomentum
SPY,2022-10-14,-0.25,-0.17,0.65,0.97555,0.0,0.0,REDUCE,True,drawdown_limit_triggered;strong_downtrend_guard,StrongDowntrend,LowVolatility,PositiveMomentum
SPY,2022-10-17,-0.19574,-0.1437,0.65,1.03559,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-10-18,-0.1181,-0.05497,0.65,1.04417,0.0,0.0,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-10-19,-0.08245,-0.01423,0.65,1.0256,0.01504,0.01504,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-10-20,-0.0824,-0.01417,0.65,1.02558,0.01507,0.01507,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-10-21,0.06031,0.14892,0.45,1.05089,0.17722,0.17722,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-24,0.13988,0.23986,0.45,1.04947,0.22213,0.22213,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-25,0.20747,0.31711,0.45,1.0617,0.25918,0.25918,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-26,0.10853,0.20404,0.45,1.04553,0.2048,0.2048,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-27,0.16584,0.26953,0.45,1.00658,0.24021,0.24021,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-28,0.07,0.43657,0.45,1.01129,0.2495,0.2495,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-10-31,0.00712,0.29385,0.45,0.97696,0.20059,0.20059,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-01,-0.11935,0.14932,0.45,0.90418,0.1353,0.1353,REDUCE,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-02,-0.02061,0.05645,0.45,0.96247,0.13884,0.13884,REDUCE,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-03,-0.02054,0.05653,0.45,0.96243,0.13888,0.13888,REDUCE,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-04,0.13082,0.22951,0.45,0.90378,0.22883,0.22883,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-07,0.19375,0.30143,0.45,0.89919,0.26462,0.26462,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-08,0.23735,0.35126,0.45,0.89126,0.2898,0.2898,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-09,0.17247,0.27711,0.45,0.93899,0.24942,0.24942,HOLD,True,drawdown_limit_triggered,Sideways,LowVolatility,PositiveMomentum
SPY,2022-11-10,0.25,0.51391,0.45,1.11505,0.37592,0.36,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Uptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-11,0.25,0.65723,0.45,1.05776,0.42136,0.36,REDUCE,True,drawdown_limit_triggered;volatility_limit_triggered,Uptrend,MediumVolatility,PositiveMomentum
SPY,2022-11-14,0.25,0.5086,0.45,1.03642,0.38029,0.36,HOLD,True,drawdown_limit_triggered;volatility_limit_triggered,Uptrend,MediumVolatility,PositiveMomentum
