asset,date,open,high,low,close,volume
SPY,2024-04-18,467.22,467.92,467.58,467.9,28075499
SPY,2024-04-19,471.72,473.03,470.97,471.13,80663119
SPY,2024-04-22,473.16,474.2,468.29,471.32,73982673
SPY,2024-04-23,474.87,477.09,475.09,477.03,71152293
SPY,2024-04-24,476.16,477.01,473.61,474.94,111012023
SPY,2024-04-25,480.23,483.07,481.2,481.4,60548674
SPY,2024-04-26,480.75,481.86,479.86,480.76,68680005
SPY,2024-04-29,479.09,476.59,475.38,476.54,82603907
SPY,2024-04-30,480.94,483.49,481.25,481.59,23234215
SPY,2024-05-01,480.82,481.59,478.61,479.98,115285166
SPY,2024-05-02,480.47,479.68,477.42,479.25,76963236
SPY,2024-05-03,479.21,480.82,479.95,480.44,49917786
SPY,2024-05-06,478.98,481.6,479.16,479.28,50924265
SPY,2024-05-07,480.32,482.87,480.4,480.69,52549004
SPY,2024-05-08,481.6,483.08,478.21,480.53,87021973
SPY,2024-05-09,483.98,485.62,483.66,485.08,82176512
SPY,2024-05-10,484.06,486.75,482.92,485.78,59579136
SPY,2024-05-13,478.33,479.78,477.24,478.87,92731095
SPY,2024-05-14,476.57,476.89,476.1,476.39,35523972
SPY,2024-05-15,479.21,478.91,477.12,478.59,66905097
SPY,2024-05-16,481.11,483.25,479.14,480.75,76951067
SPY,2024-05-17,480.94,481.21,479.32,479.88,96301626
SPY,2024-05-20,479.74,479.26,477.62,478.87,77919144
SPY,2024-05-21,477.62,480.42,478.55,478.96,20615824
SPY,2024-05-22,478.02,479.49,477.75,478.39,55977672
SPY,2024-05-23,483.01,483.68,480.26,481.78,25921909
SPY,2024-05-24,480.25,483.56,481.17,482.22,30927584
SPY,2024-05-27,481.97,481.89,477.78,481.53,93738408
SPY,2024-05-28,477.14,477.7,474.43,477.65,24427988
SPY,2024-05-29,480.16,482.31,480.26,481.17,83155087
SPY,2024-05-30,476.36,478.91,477.11,477.58,84144333
SPY,2024-05-31,475.49,476.18,475.1,475.61,73598939
SPY,2024-06-03,471.84,472.16,471.09,471.35,117665022
SPY,2024-06-04,468.45,470.82,466.21,467.81,20373985
SPY,2024-06-05,470.78,472.23,468.0,470.42,103320451
SPY,2024-06-06,468.03,470.94,466.07,468.2,42551823
SPY,2024-06-07,461.96,460.42,457.66,458.54,20784097
SPY,2024-06-10,461.11,463.15,459.54,461.62,114846047
SPY,2024-06-11,460.86,462.49,460.07,461.35,72814420
SPY,2024-06-12,452.78,455.22,452.35,453.75,42187099
SPY,2024-06-13,462.94,463.86,461.49,462.59,111670926
SPY,2024-06-14,459.71,461.24,459.12,460.97,52448320
SPY,2024-06-17,460.33,463.52,461.82,461.85,105257915
SPY,2024-06-18,463.92,461.89,461.53,461.87,92013820
SPY,2024-06-19,471.32,475.16,469.82,471.5,22327115
SPY,2024-06-20,474.36,475.33,473.39,473.86,27651888
SPY,2024-06-21,478.9,479.98,477.48,478.44,93678303
SPY,2024-06-24,483.3,483.21,482.04,483.07,92960868
SPY,2024-06-25,480.33,480.06,475.67,478.34,48297225
SPY,2024-06-26,478.88,482.42,476.16,478.94,89847791
SPY,2024-06-27,474.57,477.71,472.41,474.75,80077040
SPY,2024-06-28,473.16,474.52,471.96,472.53,69858545
SPY,2024-07-01,471.58,470.5,467.72,469.36,62872095
SPY,2024-07-02,469.13,469.86,467.76,469.2,62641419
SPY,2024-07-03,473.03,475.74,471.24,472.7,46241544
SPY,2024-07-04,469.88,471.56,469.93,471.12,74469947
SPY,2024-07-05,467.56,472.83,469.05,469.63,49087314
SPY,2024-07-08,465.54,465.61,464.41,465.2,77426349
SPY,2024-07-09,469.76,473.37,467.62,468.93,32914963
SPY,2024-07-10,471.03,471.55,468.86,470.23,67556894
SPY,2024-07-11,471.19,472.13,470.33,471.3,45873167
SPY,2024-07-12,468.64,469.26,468.86,469.12,107320307
SPY,2024-07-15,469.14,473.87,466.56,471.18,77803853
SPY,2024-07-16,468.21,469.25,467.69,468.25,89892338
SPY,2024-07-17,460.55,462.66,461.13,461.92,98565575
SPY,2024-07-18,467.1,468.28,467.45,468.15,39945022
SPY,2024-07-19,467.71,468.38,463.57,466.7,84967108
SPY,2024-07-22,465.0,465.71,463.43,464.42,32886993
SPY,2024-07-23,469.75,469.3,464.83,467.7,34467238
SPY,2024-07-24,464.0,466.13,465.69,465.87,86257298
SPY,2024-07-25,467.38,466.78,462.1,465.8,56120981
SPY,2024-07-26,469.52,469.54,467.16,468.93,83236886
SPY,2024-07-29,469.53,469.12,465.99,467.45,73303158
SPY,2024-07-30,461.03,462.21,460.29,460.88,67758846
SPY,2024-07-31,461.69,462.16,459.98,462.02,71492385
SPY,2024-08-01,461.82,461.54,459.9,460.89,74463647
SPY,2024-08-02,469.64,470.12,467.85,468.09,38933016
SPY,2024-08-05,465.45,466.12,463.65,464.79,56588823
SPY,2024-08-06,461.08,461.07,460.12,460.8,60381129
SPY,2024-08-07,464.81,463.76,462.8,463.53,33394495
SPY,2024-08-08,460.87,461.1,457.71,458.44,66520338
SPY,2024-08-09,462.46,462.22,462.03,462.16,73568271
SPY,2024-08-12,464.35,464.92,463.45,464.45,110036135
SPY,2024-08-13,470.42,471.25,468.37,470.71,30364481
SPY,2024-08-14,470.33,473.41,469.81,470.07,103920258
SPY,2024-08-15,468.94,469.31,465.74,467.68,77676916
SPY,2024-08-16,474.37,476.08,471.58,473.43,27366219
SPY,2024-08-19,473.64,476.78,472.85,475.19,60183107
SPY,2024-08-20,477.62,481.32,477.02,478.31,24177836
SPY,2024-08-21,484.38,486.64,484.2,484.23,33602417
SPY,2024-08-22,488.44,490.62,486.1,488.96,79821921
SPY,2024-08-23,488.49,492.35,489.65,489.77,38515102
SPY,2024-08-26,482.15,482.98,480.19,481.42,29984929
SPY,2024-08-27,486.04,487.63,483.42,485.93,90750252
SPY,2024-08-28,483.96,484.15,483.91,484.12,26090570
SPY,2024-08-29,479.59,480.31,479.34,480.17,53171815
SPY,2024-08-30,482.69,484.23,481.8,482.01,36721001
SPY,2024-09-02,486.45,486.39,481.62,484.17,57601062
SPY,2024-09-03,478.52,482.13,479.08,480.87,51631809
SPY,2024-09-04,480.08,480.62,477.9,479.27,116737702
SPY,2024-09-05,481.98,482.62,479.97,480.25,118364090
SPY,2024-09-06,486.43,488.44,485.88,486.18,87060265
SPY,2024-09-09,493.14,493.37,489.41,491.05,117747359
SPY,2024-09-10,495.52,495.3,493.88,494.11,30543845
SPY,2024-09-11,493.69,496.98,491.19,494.46,117648245
SPY,2024-09-12,489.94,491.13,489.41,490.99,55743175
SPY,2024-09-13,488.78,490.68,488.01,489.14,49051314
SPY,2024-09-16,489.43,490.45,486.56,488.86,68609995
SPY,2024-09-17,489.04,490.7,487.24,487.45,40980425
SPY,2024-09-18,486.29,489.02,486.07,487.05,89387957
SPY,2024-09-19,491.45,492.81,487.51,490.73,68786375
SPY,2024-09-20,487.88,487.14,483.86,486.13,95238668
SPY,2024-09-23,495.02,493.6,492.28,492.87,86374410
SPY,2024-09-24,494.22,493.37,491.73,492.24,103654239
SPY,2024-09-25,488.57,490.48,487.96,489.53,25542941
SPY,2024-09-26,487.77,488.09,486.48,487.16,28028141
SPY,2024-09-27,483.74,487.32,482.86,485.31,77851935
SPY,2024-09-30,487.54,488.24,484.91,487.34,87155065
SPY,2024-10-01,487.73,488.56,485.98,487.81,25251388
SPY,2024-10-02,485.52,487.83,484.73,486.41,79721311
SPY,2024-10-03,493.8,493.93,489.81,493.08,54406543
SPY,2024-10-04,495.92,496.7,493.0,494.87,104531513
SPY,2024-10-07,489.75,491.98,488.43,488.94,47303675
SPY,2024-10-08,489.53,491.34,485.4,489.51,78332630
SPY,2024-10-09,492.62,491.57,490.14,491.27,100824685
SPY,2024-10-10,492.59,491.76,490.8,491.0,25597415
SPY,2024-10-11,491.72,492.35,491.94,492.09,75699418
SPY,2024-10-14,497.54,497.55,496.11,496.94,97354165
SPY,2024-10-15,491.01,494.21,490.92,492.03,94088486
SPY,2024-10-16,488.92,493.16,490.18,491.56,28760427
SPY,2024-10-17,491.42,495.43,489.6,491.39,27282234
SPY,2024-10-18,488.43,490.14,487.31,488.25,105509570
SPY,2024-10-21,490.37,490.79,488.1,489.33,57914881
SPY,2024-10-22,491.2,492.3,490.23,491.09,67336667
SPY,2024-10-23,490.6,492.81,490.04,490.26,66964618
SPY,2024-10-24,486.33,488.4,487.67,488.3,81935716
SPY,2024-10-25,486.46,484.86,480.73,483.97,42422528
SPY,2024-10-28,485.08,485.85,483.52,484.91,110632109
SPY,2024-10-29,481.83,485.32,481.66,482.55,107242069
SPY,2024-10-30,485.88,489.33,484.6,486.19,40265482
SPY,2024-10-31,491.46,492.82,490.82,491.85,102692230
SPY,2024-11-01,495.17,498.25,495.51,496.47,32030530
SPY,2024-11-04,496.69,498.02,496.64,496.96,99217514
SPY,2024-11-05,502.83,504.08,499.77,502.11,50390043
SPY,2024-11-06,502.89,504.05,503.51,503.6,52573113
SPY,2024-11-07,499.15,501.21,498.37,499.89,22372272
SPY,2024-11-08,499.86,499.7,499.17,499.57,118273615
SPY,2024-11-11,499.67,500.73,497.09,499.17,98410077
SPY,2024-11-12,500.29,502.01,499.86,501.65,44235434
SPY,2024-11-13,497.05,500.34,496.41,497.98,92136346
SPY,2024-11-14,501.85,503.18,500.78,501.28,32656586
SPY,2024-11-15,500.11,501.26,498.5,500.37,117561480
SPY,2024-11-18,498.38,500.14,498.1,498.73,45932174
SPY,2024-11-19,499.83,501.46,500.02,500.66,111433316
SPY,2024-11-20,499.76,500.62,497.93,498.73,46543399
SPY,2024-11-21,496.3,498.02,497.02,497.27,42594738
SPY,2024-11-22,496.58,500.41,496.23,497.54,104436133
SPY,2024-11-25,499.21,500.91,497.68,498.09,96364974
SPY,2024-11-26,498.96,499.47,496.57,498.36,37876916
SPY,2024-11-27,494.52,495.79,491.29,494.83,46313464
SPY,2024-11-28,490.3,491.27,488.53,491.02,29452641
SPY,2024-11-29,497.11,501.55,498.66,499.36,92349495
SPY,2024-12-02,498.31,498.66,497.87,498.63,53666377
SPY,2024-12-03,494.21,495.29,493.1,494.15,51931860
SPY,2024-12-04,496.88,499.17,496.57,496.95,25702133
SPY,2024-12-05,499.25,500.41,498.93,500.38,116915084
SPY,2024-12-06,500.85,502.09,501.44,501.52,71458469
SPY,2024-12-09,500.03,503.31,500.15,501.08,63695978
SPY,2024-12-10,501.42,501.83,500.25,501.66,73102527
SPY,2024-12-11,501.02,503.2,501.89,502.48,28468599
SPY,2024-12-12,503.45,504.67,499.53,502.22,84722563
SPY,2024-12-13,503.42,507.39,501.78,503.21,108504976
SPY,2024-12-16,502.33,507.03,503.4,503.62,46784301
SPY,2024-12-17,506.25,508.92,506.96,507.08,106241400
SPY,2024-12-18,504.26,504.53,503.32,504.01,71114276
SPY,2024-12-19,508.84,509.72,508.16,509.38,101459570
SPY,2024-12-20,513.63,516.12,510.83,512.04,106901640
SPY,2024-12-23,513.95,516.65,514.44,514.82,89950903
SPY,2024-12-24,518.28,516.92,515.68,515.89,38671427
SPY,2024-12-25,518.08,521.6,517.81,518.97,30748171
SPY,2024-12-26,520.53,521.06,519.28,520.78,114448527
SPY,2024-12-27,519.44,519.51,518.32,518.82,101985302
SPY,2024-12-30,521.14,519.99,519.02,519.32,51151741
SPY,2024-12-31,518.58,519.22,518.09,518.64,53750725
SPY,2025-01-01,520.82,521.38,520.04,520.83,67407058
SPY,2025-01-02,527.33,527.07,524.72,525.29,87276513
SPY,2025-01-03,522.72,524.94,521.38,522.97,50529035
SPY,2025-01-06,528.38,530.79,527.26,527.42,44237685
SPY,2025-01-07,524.79,527.24,523.13,526.68,92457846
SPY,2025-01-08,523.78,526.23,521.62,524.52,68216451
SPY,2025-01-09,524.11,523.0,518.96,522.56,20960284
SPY,2025-01-10,516.49,517.75,513.91,516.8,38876651
SPY,2025-01-13,514.84,515.65,513.27,515.08,82455459
SPY,2025-01-14,514.87,514.63,512.88,514.5,67422401
SPY,2025-01-15,520.53,521.7,519.02,519.79,75033091
SPY,2025-01-16,523.37,524.1,521.69,521.91,93248118
SPY,2025-01-17,529.32,530.16,527.0,527.39,64322948
SPY,2025-01-20,525.24,525.85,523.73,524.83,35433917
SPY,2025-01-21,528.39,531.54,526.44,527.93,95224726
SPY,2025-01-22,526.73,527.96,525.15,525.9,65994430
SPY,2025-01-23,534.02,534.49,529.25,532.2,91639574
SPY,2025-01-24,535.85,537.74,536.4,536.47,30512800
SPY,2025-01-27,527.47,530.05,527.03,528.91,118627093
SPY,2025-01-28,533.7,533.78,532.59,533.28,53098476
SPY,2025-01-29,532.53,531.82,530.61,531.01,26745342
SPY,2025-01-30,534.7,535.68,533.91,534.13,65518760
SPY,2025-01-31,542.42,544.62,540.13,540.85,97844457
SPY,2025-02-03,539.35,539.74,537.55,539.22,107526409
SPY,2025-02-04,541.14,541.24,539.64,540.24,28367779
SPY,2025-02-05,539.39,539.46,537.3,538.58,82947526
SPY,2025-02-06,537.55,539.78,536.84,537.83,56369961
SPY,2025-02-07,537.05,537.81,534.89,536.18,94258155
SPY,2025-02-10,540.56,540.08,538.16,539.31,109035366
SPY,2025-02-11,540.45,541.58,536.43,538.64,106063626
SPY,2025-02-12,547.32,549.23,547.04,547.29,98705584
SPY,2025-02-13,556.03,557.04,551.54,554.58,116284248
SPY,2025-02-14,554.15,554.77,553.36,554.28,110721937
SPY,2025-02-17,552.89,558.78,552.98,554.06,25452236
SPY,2025-02-18,556.52,556.98,553.85,556.92,27281262
SPY,2025-02-19,558.95,560.96,557.38,557.98,101560555
SPY,2025-02-20,554.8,558.37,555.68,558.24,110144776
SPY,2025-02-21,553.36,555.02,551.02,553.6,62289149
SPY,2025-02-24,556.79,556.95,553.39,556.28,52619545
SPY,2025-02-25,564.4,566.07,563.45,563.74,87628871
SPY,2025-02-26,565.85,568.22,566.03,567.16,58158576
SPY,2025-02-27,570.22,570.49,567.72,569.62,118635239
SPY,2025-02-28,571.59,569.2,566.15,568.77,72188222
SPY,2025-03-03,569.91,568.59,566.65,568.05,115363980
SPY,2025-03-04,570.36,571.57,569.43,570.91,115204443
SPY,2025-03-05,573.04,571.94,569.05,570.81,73370334
SPY,2025-03-06,568.81,572.75,571.77,572.75,62668866
SPY,2025-03-07,565.73,565.83,564.0,565.12,27916225
SPY,2025-03-10,561.71,565.2,561.8,562.48,50381745
SPY,2025-03-11,557.61,560.65,556.32,558.47,73687648
SPY,2025-03-12,559.69,560.47,559.23,559.7,76720948
SPY,2025-03-13,562.06,560.43,559.18,560.2,109433135
SPY,2025-03-14,567.36,567.71,566.97,567.26,88993877
SPY,2025-03-17,562.77,565.26,560.9,562.96,107938246
SPY,2025-03-18,563.28,566.24,563.04,563.47,75790745
SPY,2025-03-19,571.31,574.48,570.95,571.88,67612208
SPY,2025-03-20,567.87,571.19,567.35,569.81,67365598
SPY,2025-03-21,564.55,568.38,561.79,563.67,25863123
SPY,2025-03-24,556.68,557.34,556.81,557.1,51423161
SPY,2025-03-25,559.0,561.55,558.1,559.59,67348809
SPY,2025-03-26,567.24,566.92,563.76,566.2,67373301
SPY,2025-03-27,564.9,567.7,563.55,566.15,42069427
SPY,2025-03-28,561.84,564.74,562.87,564.53,108318234
SPY,2025-03-31,563.06,565.18,563.32,563.8,64307006
SPY,2025-04-01,571.17,572.84,569.02,569.94,101125599
SPY,2025-04-02,564.48,563.98,562.48,563.28,86694368
SPY,2025-04-03,562.34,562.8,558.59,562.15,35437805
SPY,2025-04-04,552.95,555.25,550.32,554.82,110575653
SPY,2025-04-07,552.65,552.5,547.93,551.38,32411251
SPY,2025-04-08,547.9,549.88,543.89,547.55,32214700
SPY,2025-04-09,548.69,550.31,548.77,550.03,80594486
SPY,2025-04-10,546.6,551.95,545.11,546.91,56703170
SPY,2025-04-11,546.4,550.25,544.56,546.18,25429628
SPY,2025-04-14,552.56,553.56,550.99,552.74,104715068
SPY,2025-04-15,553.67,555.35,552.79,553.35,20305882
SPY,2025-04-16,551.87,551.91,547.8,551.39,109698956
SPY,2025-04-17,549.99,552.05,549.77,551.22,58228138
SPY,2025-04-18,550.83,550.5,548.88,549.86,72362801
SPY,2025-04-21,550.86,550.6,545.98,549.13,68320027
SPY,2025-04-22,548.94,551.01,548.15,549.24,116780689
SPY,2025-04-23,550.6,550.25,546.71,548.74,22824324
SPY,2025-04-24,552.46,551.19,547.17,550.24,90260206
SPY,2025-04-25,546.04,548.38,547.11,547.59,49369570
SPY,2025-04-28,548.75,551.06,549.47,549.75,109282661
SPY,2025-04-29,547.46,549.19,544.48,545.99,25008798
SPY,2025-04-30,542.73,541.4,538.03,540.93,55983363
SPY,2025-05-01,536.6,536.99,536.05,536.61,30165036
SPY,2025-05-02,535.06,538.22,536.64,536.99,81139685
SPY,2025-05-05,533.26,538.34,535.33,536.28,83554391
SPY,2025-05-06,534.1,537.78,532.64,534.1,75118629
SPY,2025-05-07,536.81,539.14,535.68,537.57,64072022
SPY,2025-05-08,535.19,538.2,532.52,535.36,52301607
SPY,2025-05-09,536.04,539.74,536.27,537.41,113331396
SPY,2025-05-12,535.41,534.83,533.85,533.85,77200015
SPY,2025-05-13,537.5,535.87,535.12,535.81,23388601
SPY,2025-05-14,538.42,540.81,538.81,539.11,47877751
SPY,2025-05-15,543.67,546.91,545.51,546.2,80287195
SPY,2025-05-16,549.85,549.86,547.98,548.79,115937191
SPY,2025-05-19,544.33,544.21,540.11,543.71,40962843
SPY,2025-05-20,542.12,544.82,541.74,543.42,66778113
SPY,2025-05-21,542.24,544.54,539.74,542.59,49546663
SPY,2025-05-22,546.35,548.7,544.95,545.48,35690469
SPY,2025-05-23,547.51,548.37,546.8,547.18,35114016
SPY,2025-05-26,549.35,548.52,547.53,548.02,107428557
SPY,2025-05-27,552.81,553.08,552.36,553.02,110489337
SPY,2025-05-28,553.72,554.65,553.06,553.08,118252311
SPY,2025-05-29,552.73,552.65,549.33,551.93,32113582
SPY,2025-05-30,547.35,549.38,548.27,548.96,90106116
SPY,2025-06-02,538.65,542.26,537.42,539.22,71080888
SPY,2025-06-03,538.89,539.44,535.64,538.61,116518661
SPY,2025-06-04,543.98,545.01,542.07,543.72,76371685
SPY,2025-06-05,539.77,544.34,539.45,540.13,104052144
SPY,2025-06-06,542.54,542.78,540.21,542.67,48428029
AAPL,2024-01-02,184.65,186.97,184.77,185.73,34764850
AAPL,2024-01-03,184.02,184.09,182.2,183.71,34289821
AAPL,2024-01-04,185.12,185.47,182.27,184.14,69357862
AAPL,2024-01-05,182.33,182.69,181.63,182.38,76063754
AAPL,2024-01-08,179.14,179.14,178.68,179.02,60747290
AAPL,2024-01-09,178.57,178.64,177.14,178.51,52392127
AAPL,2024-01-10,175.19,176.13,175.01,175.54,96023865
AAPL,2024-01-11,175.97,176.33,174.27,176.18,95818485
AAPL,2024-01-12,172.93,175.26,171.43,173.81,117628874
AAPL,2024-01-15,171.79,171.49,170.35,170.96,46905939
AAPL,2024-01-16,171.09,172.45,171.14,171.16,85592322
AAPL,2024-01-17,171.67,171.66,169.24,170.71,97929695
AAPL,2024-01-18,170.98,171.96,169.79,171.3,65837458
AAPL,2024-01-19,172.8,174.82,172.49,173.43,53719407
AAPL,2024-01-22,172.19,173.99,171.45,172.45,100946469
AAPL,2024-01-23,169.95,171.23,170.31,170.74,78059329
AAPL,2024-01-24,169.16,169.22,168.08,168.97,106287932
AAPL,2024-01-25,166.3,167.55,163.93,165.78,51265455
AAPL,2024-01-26,165.71,166.01,164.74,165.99,79065375
AAPL,2024-01-29,166.91,169.92,165.64,167.82,104702666
AAPL,2024-01-30,167.62,168.3,166.5,167.53,103798144
AAPL,2024-01-31,168.6,168.12,167.63,167.96,77569451
AAPL,2024-02-01,171.8,173.21,171.29,171.53,82682264
AAPL,2024-02-02,167.77,168.22,167.53,168.03,44944155
AAPL,2024-02-05,169.25,169.3,168.22,168.81,65954364
AAPL,2024-02-06,169.18,169.76,169.08,169.53,96697736
AAPL,2024-02-07,170.69,171.81,170.99,171.28,64102459
AAPL,2024-02-08,166.53,167.21,165.58,166.39,58381227
AAPL,2024-02-09,170.17,170.74,168.72,169.39,65204631
AAPL,2024-02-12,168.9,169.36,168.37,169.32,109793393
AAPL,2024-02-13,166.06,166.14,165.69,165.71,61502212
AAPL,2024-02-14,162.4,163.51,163.15,163.51,112379415
AAPL,2024-02-15,163.33,164.37,163.51,164.34,52933629
AAPL,2024-02-16,160.32,162.71,161.31,161.9,33362317
AAPL,2024-02-19,159.76,162.62,159.83,161.1,37526196
AAPL,2024-02-20,162.77,163.13,161.7,162.57,25852034
AAPL,2024-02-21,163.83,163.54,162.83,163.28,41739038
AAPL,2024-02-22,168.05,167.69,165.67,165.71,45830973
AAPL,2024-02-23,167.64,168.93,167.13,167.72,91936140
AAPL,2024-02-26,167.8,168.55,167.31,167.35,60875965
AAPL,2024-02-27,166.63,168.91,167.85,167.96,72084311
AAPL,2024-02-28,165.37,165.68,163.85,164.86,32226866
AAPL,2024-02-29,168.53,168.34,167.33,168.23,94273130
AAPL,2024-03-01,163.84,165.04,163.86,164.18,75299237
AAPL,2024-03-04,166.84,168.21,167.69,168.1,92738277
AAPL,2024-03-05,164.27,164.65,164.28,164.32,58522510
AAPL,2024-03-06,165.45,165.01,164.61,164.89,99105200
AAPL,2024-03-07,164.85,165.05,164.15,164.61,83953978
AAPL,2024-03-08,165.57,166.45,165.49,165.6,97366227
AAPL,2024-03-11,165.15,165.35,164.55,164.94,25473637
AAPL,2024-03-12,163.08,163.21,162.51,162.92,98109072
AAPL,2024-03-13,161.66,162.2,160.13,161.63,93926169
AAPL,2024-03-14,159.59,160.1,157.91,159.62,100446914
AAPL,2024-03-15,159.75,160.18,159.17,159.89,64898749
AAPL,2024-03-18,159.29,157.95,157.57,157.93,82348649
AAPL,2024-03-19,157.32,158.58,157.11,157.38,105418277
AAPL,2024-03-20,157.03,157.11,156.64,156.81,43452501
AAPL,2024-03-21,160.08,159.43,158.31,158.43,113834292
AAPL,2024-03-22,159.23,160.43,157.9,158.87,96812932
AAPL,2024-03-25,157.67,159.56,157.48,158.07,44519234
AAPL,2024-03-26,159.36,159.53,158.25,159.06,86111727
AAPL,2024-03-27,159.7,160.82,158.75,159.98,116634307
AAPL,2024-03-28,162.81,163.45,161.79,162.35,93421071
AAPL,2024-03-29,163.72,164.17,162.73,163.12,75416616
AAPL,2024-04-01,161.44,162.6,161.8,162.19,28305108
AAPL,2024-04-02,165.42,166.24,164.08,166.1,47824700
AAPL,2024-04-03,165.74,166.6,164.41,165.54,105481066
AAPL,2024-04-04,166.46,166.68,165.37,166.15,20200158
AAPL,2024-04-05,166.04,167.83,165.9,165.96,117943279
AAPL,2024-04-08,167.53,167.43,165.56,166.78,33327771
AAPL,2024-04-09,167.0,167.45,164.52,166.95,48162819
AAPL,2024-04-10,166.62,166.4,163.18,165.38,81391899
AAPL,2024-04-11,162.8,164.76,162.47,164.27,41208977
AAPL,2024-04-12,166.14,166.64,163.43,165.18,80997109
