asset,date,memory_id,reflection_id,outcome,error_or_success_pattern,trust_update_rule
AAPL,2026-02-02,Memory:AAPL_2026-02-02,Reflection:AAPL_2026-02-02,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2026-02-24,Memory:AAPL_2026-02-24,Reflection:AAPL_2026-02-24,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2026-03-17,Memory:AAPL_2026-03-17,Reflection:AAPL_2026-03-17,WrongPrediction,WeakSignalNoise,reduce noisy agents
AAPL,2026-04-08,Memory:AAPL_2026-04-08,Reflection:AAPL_2026-04-08,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2026-04-29,Memory:AAPL_2026-04-29,Reflection:AAPL_2026-04-29,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2026-05-20,Memory:AAPL_2026-05-20,Reflection:AAPL_2026-05-20,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2025-01-07,Memory:MSFT_2025-01-07,Reflection:MSFT_2025-01-07,WrongPrediction,WeakSignalNoise,reduce noisy agents
MSFT,2025-01-30,Memory:MSFT_2025-01-30,Reflection:MSFT_2025-01-30,WrongPrediction,WeakSignalNoise,reduce noisy agents
MSFT,2025-02-21,Memory:MSFT_2025-02-21,Reflection:MSFT_2025-02-21,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2025-03-14,Memory:MSFT_2025-03-14,Reflection:MSFT_2025-03-14,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2025-04-04,Memory:MSFT_2025-04-04,Reflection:MSFT_2025-04-04,WrongPrediction,WeakSignalNoise,reduce noisy agents
MSFT,2025-04-28,Memory:MSFT_2025-04-28,Reflection:MSFT_2025-04-28,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2025-05-19,Memory:MSFT_2025-05-19,Reflection:MSFT_2025-05-19,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2025-06-10,Memory:MSFT_2025-06-10,Reflection:MSFT_2025-06-10,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2025-07-02,Memory:MSFT_2025-07-02,Reflection:MSFT_2025-07-02,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2025-07-24,Memory:MSFT_2025-07-24,Reflection:MSFT_2025-07-24,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2025-08-14,Memory:MSFT_2025-08-14,Reflection:MSFT_2025-08-14,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2025-09-05,Memory:MSFT_2025-09-05,Reflection:MSFT_2025-09-05,WrongPrediction,WeakSignalNoise,reduce noisy agents
MSFT,2025-09-26,Memory:MSFT_2025-09-26,Reflection:MSFT_2025-09-26,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2025-10-17,Memory:MSFT_2025-10-17,Reflection:MSFT_2025-10-17,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2025-11-07,Memory:MSFT_2025-11-07,Reflection:MSFT_2025-11-07,WrongPrediction,WeakSignalNoise,reduce noisy agents
MSFT,2025-12-01,Memory:MSFT_2025-12-01,Reflection:MSFT_2025-12-01,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2025-12-22,Memory:MSFT_2025-12-22,Reflection:MSFT_2025-12-22,CorrectPrediction,TrendFollowWorked,increase reliable agents
MSFT,2026-01-14,Memory:MSFT_2026-01-14,Reflection:MSFT_2026-01-14,WrongPrediction,WeakSignalNoise,reduce noisy agents
MSFT,2026-02-05,Memory:MSFT_2026-02-05,Reflection:MSFT_2026-02-05,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2026-02-27,Memory:MSFT_2026-02-27,Reflection:MSFT_2026-02-27,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2026-03-20,Memory:MSFT_2026-03-20,Reflection:MSFT_2026-03-20,WrongPrediction,WeakSignalNoise,reduce noisy agents
MSFT,2026-04-13,Memory:MSFT_2026-04-13,Reflection:MSFT_2026-04-13,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2026-05-04,Memory:MSFT_2026-05-04,Reflection:MSFT_2026-05-04,WrongPrediction,OverRiskControlled,reduce noisy agents
MSFT,2026-05-26,Memory:MSFT_2026-05-26,Reflection:MSFT_2026-05-26,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-01-13,Memory:NVDA_2025-01-13,Reflection:NVDA_2025-01-13,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-02-04,Memory:NVDA_2025-02-04,Reflection:NVDA_2025-02-04,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-02-26,Memory:NVDA_2025-02-26,Reflection:NVDA_2025-02-26,WrongPrediction,WeakSignalNoise,reduce noisy agents
NVDA,2025-03-19,Memory:NVDA_2025-03-19,Reflection:NVDA_2025-03-19,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-04-09,Memory:NVDA_2025-04-09,Reflection:NVDA_2025-04-09,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-05-01,Memory:NVDA_2025-05-01,Reflection:NVDA_2025-05-01,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-05-22,Memory:NVDA_2025-05-22,Reflection:NVDA_2025-05-22,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-06-13,Memory:NVDA_2025-06-13,Reflection:NVDA_2025-06-13,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-07-08,Memory:NVDA_2025-07-08,Reflection:NVDA_2025-07-08,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-07-29,Memory:NVDA_2025-07-29,Reflection:NVDA_2025-07-29,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-08-19,Memory:NVDA_2025-08-19,Reflection:NVDA_2025-08-19,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-09-10,Memory:NVDA_2025-09-10,Reflection:NVDA_2025-09-10,CorrectPrediction,TrendFollowWorked,increase reliable agents
NVDA,2025-10-01,Memory:NVDA_2025-10-01,Reflection:NVDA_2025-10-01,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-10-22,Memory:NVDA_2025-10-22,Reflection:NVDA_2025-10-22,CorrectPrediction,TrendFollowWorked,increase reliable agents
NVDA,2025-11-12,Memory:NVDA_2025-11-12,Reflection:NVDA_2025-11-12,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-12-04,Memory:NVDA_2025-12-04,Reflection:NVDA_2025-12-04,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2025-12-26,Memory:NVDA_2025-12-26,Reflection:NVDA_2025-12-26,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2026-01-20,Memory:NVDA_2026-01-20,Reflection:NVDA_2026-01-20,WrongPrediction,WeakSignalNoise,reduce noisy agents
NVDA,2026-02-10,Memory:NVDA_2026-02-10,Reflection:NVDA_2026-02-10,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2026-03-04,Memory:NVDA_2026-03-04,Reflection:NVDA_2026-03-04,CorrectPrediction,TrendFollowWorked,increase reliable agents
NVDA,2026-03-25,Memory:NVDA_2026-03-25,Reflection:NVDA_2026-03-25,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2026-04-16,Memory:NVDA_2026-04-16,Reflection:NVDA_2026-04-16,CorrectPrediction,TrendFollowWorked,increase reliable agents
NVDA,2026-05-07,Memory:NVDA_2026-05-07,Reflection:NVDA_2026-05-07,WrongPrediction,OverRiskControlled,reduce noisy agents
NVDA,2026-05-29,Memory:NVDA_2026-05-29,Reflection:NVDA_2026-05-29,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-01-16,Memory:TSLA_2025-01-16,Reflection:TSLA_2025-01-16,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-02-07,Memory:TSLA_2025-02-07,Reflection:TSLA_2025-02-07,WrongPrediction,WeakSignalNoise,reduce noisy agents
TSLA,2025-03-03,Memory:TSLA_2025-03-03,Reflection:TSLA_2025-03-03,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-03-24,Memory:TSLA_2025-03-24,Reflection:TSLA_2025-03-24,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-04-14,Memory:TSLA_2025-04-14,Reflection:TSLA_2025-04-14,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-05-06,Memory:TSLA_2025-05-06,Reflection:TSLA_2025-05-06,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-05-28,Memory:TSLA_2025-05-28,Reflection:TSLA_2025-05-28,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-06-18,Memory:TSLA_2025-06-18,Reflection:TSLA_2025-06-18,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-07-11,Memory:TSLA_2025-07-11,Reflection:TSLA_2025-07-11,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-08-01,Memory:TSLA_2025-08-01,Reflection:TSLA_2025-08-01,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-08-22,Memory:TSLA_2025-08-22,Reflection:TSLA_2025-08-22,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-09-15,Memory:TSLA_2025-09-15,Reflection:TSLA_2025-09-15,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-10-06,Memory:TSLA_2025-10-06,Reflection:TSLA_2025-10-06,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-10-27,Memory:TSLA_2025-10-27,Reflection:TSLA_2025-10-27,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2025-11-17,Memory:TSLA_2025-11-17,Reflection:TSLA_2025-11-17,WrongPrediction,WeakSignalNoise,reduce noisy agents
TSLA,2025-12-09,Memory:TSLA_2025-12-09,Reflection:TSLA_2025-12-09,WrongPrediction,WeakSignalNoise,reduce noisy agents
TSLA,2025-12-31,Memory:TSLA_2025-12-31,Reflection:TSLA_2025-12-31,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2026-01-23,Memory:TSLA_2026-01-23,Reflection:TSLA_2026-01-23,WrongPrediction,WeakSignalNoise,reduce noisy agents
TSLA,2026-02-13,Memory:TSLA_2026-02-13,Reflection:TSLA_2026-02-13,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2026-03-09,Memory:TSLA_2026-03-09,Reflection:TSLA_2026-03-09,WrongPrediction,WeakSignalNoise,reduce noisy agents
TSLA,2026-03-30,Memory:TSLA_2026-03-30,Reflection:TSLA_2026-03-30,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2026-04-21,Memory:TSLA_2026-04-21,Reflection:TSLA_2026-04-21,WrongPrediction,WeakSignalNoise,reduce noisy agents
TSLA,2026-05-12,Memory:TSLA_2026-05-12,Reflection:TSLA_2026-05-12,WrongPrediction,OverRiskControlled,reduce noisy agents
TSLA,2026-06-03,Memory:TSLA_2026-06-03,Reflection:TSLA_2026-06-03,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-01-22,Memory:JPM_2025-01-22,Reflection:JPM_2025-01-22,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-02-12,Memory:JPM_2025-02-12,Reflection:JPM_2025-02-12,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-03-06,Memory:JPM_2025-03-06,Reflection:JPM_2025-03-06,WrongPrediction,WeakSignalNoise,reduce noisy agents
JPM,2025-03-27,Memory:JPM_2025-03-27,Reflection:JPM_2025-03-27,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-04-17,Memory:JPM_2025-04-17,Reflection:JPM_2025-04-17,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-05-09,Memory:JPM_2025-05-09,Reflection:JPM_2025-05-09,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-06-02,Memory:JPM_2025-06-02,Reflection:JPM_2025-06-02,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-06-24,Memory:JPM_2025-06-24,Reflection:JPM_2025-06-24,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-07-16,Memory:JPM_2025-07-16,Reflection:JPM_2025-07-16,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2025-08-06,Memory:JPM_2025-08-06,Reflection:JPM_2025-08-06,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2025-08-27,Memory:JPM_2025-08-27,Reflection:JPM_2025-08-27,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2025-09-18,Memory:JPM_2025-09-18,Reflection:JPM_2025-09-18,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2025-10-09,Memory:JPM_2025-10-09,Reflection:JPM_2025-10-09,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2025-10-30,Memory:JPM_2025-10-30,Reflection:JPM_2025-10-30,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2025-11-20,Memory:JPM_2025-11-20,Reflection:JPM_2025-11-20,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2025-12-12,Memory:JPM_2025-12-12,Reflection:JPM_2025-12-12,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2026-01-06,Memory:JPM_2026-01-06,Reflection:JPM_2026-01-06,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2026-01-28,Memory:JPM_2026-01-28,Reflection:JPM_2026-01-28,WrongPrediction,WeakSignalNoise,reduce noisy agents
JPM,2026-02-19,Memory:JPM_2026-02-19,Reflection:JPM_2026-02-19,WrongPrediction,WeakSignalNoise,reduce noisy agents
JPM,2026-03-12,Memory:JPM_2026-03-12,Reflection:JPM_2026-03-12,WrongPrediction,WeakSignalNoise,reduce noisy agents
JPM,2026-04-02,Memory:JPM_2026-04-02,Reflection:JPM_2026-04-02,CorrectPrediction,TrendFollowWorked,increase reliable agents
JPM,2026-04-24,Memory:JPM_2026-04-24,Reflection:JPM_2026-04-24,WrongPrediction,OverRiskControlled,reduce noisy agents
JPM,2026-05-15,Memory:JPM_2026-05-15,Reflection:JPM_2026-05-15,WrongPrediction,WeakSignalNoise,reduce noisy agents
AMD,2025-01-02,Memory:AMD_2025-01-02,Reflection:AMD_2025-01-02,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-01-27,Memory:AMD_2025-01-27,Reflection:AMD_2025-01-27,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-02-18,Memory:AMD_2025-02-18,Reflection:AMD_2025-02-18,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-03-11,Memory:AMD_2025-03-11,Reflection:AMD_2025-03-11,WrongPrediction,WeakSignalNoise,reduce noisy agents
AMD,2025-04-01,Memory:AMD_2025-04-01,Reflection:AMD_2025-04-01,WrongPrediction,WeakSignalNoise,reduce noisy agents
AMD,2025-04-23,Memory:AMD_2025-04-23,Reflection:AMD_2025-04-23,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-05-14,Memory:AMD_2025-05-14,Reflection:AMD_2025-05-14,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-06-05,Memory:AMD_2025-06-05,Reflection:AMD_2025-06-05,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-06-27,Memory:AMD_2025-06-27,Reflection:AMD_2025-06-27,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-07-21,Memory:AMD_2025-07-21,Reflection:AMD_2025-07-21,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-08-11,Memory:AMD_2025-08-11,Reflection:AMD_2025-08-11,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-09-02,Memory:AMD_2025-09-02,Reflection:AMD_2025-09-02,WrongPrediction,WeakSignalNoise,reduce noisy agents
AMD,2025-09-23,Memory:AMD_2025-09-23,Reflection:AMD_2025-09-23,WrongPrediction,WeakSignalNoise,reduce noisy agents
AMD,2025-10-14,Memory:AMD_2025-10-14,Reflection:AMD_2025-10-14,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-11-04,Memory:AMD_2025-11-04,Reflection:AMD_2025-11-04,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-11-25,Memory:AMD_2025-11-25,Reflection:AMD_2025-11-25,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2025-12-17,Memory:AMD_2025-12-17,Reflection:AMD_2025-12-17,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2026-01-09,Memory:AMD_2026-01-09,Reflection:AMD_2026-01-09,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2026-02-02,Memory:AMD_2026-02-02,Reflection:AMD_2026-02-02,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2026-02-24,Memory:AMD_2026-02-24,Reflection:AMD_2026-02-24,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2026-03-17,Memory:AMD_2026-03-17,Reflection:AMD_2026-03-17,WrongPrediction,WeakSignalNoise,reduce noisy agents
AMD,2026-04-08,Memory:AMD_2026-04-08,Reflection:AMD_2026-04-08,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2026-04-29,Memory:AMD_2026-04-29,Reflection:AMD_2026-04-29,WrongPrediction,OverRiskControlled,reduce noisy agents
AMD,2026-05-20,Memory:AMD_2026-05-20,Reflection:AMD_2026-05-20,WrongPrediction,OverRiskControlled,reduce noisy agents
